,round,tube,tox,amount
0,0.0,0.0,0.0,580.8666354641646
1,0.0,0.0,1.0,700.0
2,0.0,0.0,2.0,700.0
3,0.0,0.0,3.0,629.1879460063611
4,0.0,0.0,4.0,700.0
5,0.0,0.0,5.0,700.0
6,0.0,0.0,6.0,654.628474249922
7,0.0,0.0,7.0,589.7037413240246
8,0.0,0.0,8.0,624.3516111869199
9,0.0,0.0,9.0,700.0
10,0.0,1.0,0.0,528.5960550462473
11,0.0,1.0,1.0,700.0
12,0.0,1.0,2.0,700.0
13,0.0,1.0,3.0,598.1186718592446
14,0.0,1.0,4.0,700.0
15,0.0,1.0,5.0,700.0
16,0.0,1.0,6.0,634.7214062791357
17,0.0,1.0,7.0,541.3105016855702
18,0.0,1.0,8.0,591.1603619819138
19,0.0,1.0,9.0,700.0
20,0.0,2.0,0.0,470.4450343313159
21,0.0,2.0,1.0,700.0
22,0.0,2.0,2.0,700.0
23,0.0,2.0,3.0,563.5541043705758
24,0.0,2.0,4.0,700.0
25,0.0,2.0,5.0,700.0
26,0.0,2.0,6.0,612.5747931616378
27,0.0,2.0,7.0,487.4730225877902
28,0.0,2.0,8.0,554.2350972413421
29,0.0,2.0,9.0,700.0
