,round,tube,sp,st,final_pop
0,0,0,13,"(0.007247952120771694, 0.0, 0.0, 0.015729601905918704, 0.014918279475658146, 3.170207648739196e-05, 0.007207709811237389, 0.0, 0.0036202292047445217, 0.013558837205131282)",8
1,0,0,13,"(0.008454230104447302, 0.0, 0.0, 0.015729601905918704, 0.014918279475658146, 3.170207648739196e-05, 0.007207709811237389, 0.0, 0.004797647685703279, 0.013558837205131282)",17
2,0,0,13,"(0.004024386358769373, 0.0, 0.0, 0.015729601905918704, 0.014934856717255153, 4.467798024916487e-05, 0.007207709811237389, 0.0, 0.0036202292047445217, 0.013558837205131282)",2
3,0,0,13,"(0.008454230104447302, 0.0, 0.0, 0.015729601905918704, 0.006975996724334844, 3.170207648739196e-05, 0.007207709811237389, 0.0, 0.0036202292047445217, 0.013558837205131282)",44
4,0,0,13,"(0.008454230104447302, 0.0, 0.0, 0.015729601905918704, 0.014918279475658146, 3.170207648739196e-05, 0.007207709811237389, 0.0, 0.0036202292047445217, 0.00835538777401664)",71
5,0,0,13,"(0.004039957127779313, 0.0, 0.0, 0.015729601905918704, 0.005178484803015205, 4.467798024916487e-05, 0.007207709811237389, 0.0, 0.0036202292047445217, 0.013558837205131282)",100
6,0,0,13,"(0.008454230104447302, 0.0, 0.0, 0.015729601905918704, 0.014918279475658146, 3.170207648739196e-05, 0.007207709811237389, 0.0, 0.0036202292047445217, 0.013558837205131282)",18
7,0,0,13,"(0.009388221281071125, 0.0, 0.0, 0.015729601905918704, 0.014918279475658146, 3.170207648739196e-05, 0.004661450794614125, 0.0, 0.0036202292047445217, 0.013558837205131282)",16
8,0,0,13,"(0.013912053395087894, 0.0, 0.0, 0.015729601905918704, 0.014918279475658146, 3.170207648739196e-05, 0.011268808438402013, 0.0, 0.0036202292047445217, 0.011113140048186799)",13
9,0,0,13,"(0.013912053395087894, 0.0, 0.0, 0.015729601905918704, 0.014918279475658146, 3.170207648739196e-05, 0.004851812467493041, 0.0, 0.0036202292047445217, 0.013558837205131282)",14
10,0,0,13,"(0.004024386358769373, 0.0, 0.0, 0.015729601905918704, 0.014934856717255153, 4.467798024916487e-05, 0.007207709811237389, 0.0, 0.0027097185487158807, 0.013558837205131282)",30
11,0,0,13,"(0.009512151397237321, 0.0, 0.0, 0.015729601905918704, 0.014918279475658146, 3.170207648739196e-05, 0.007207709811237389, 0.0, 0.0036202292047445217, 0.013558837205131282)",32
12,0,0,13,"(0.008454230104447302, 0.0, 0.0, 0.015729601905918704, 0.02099747234981428, 2.4699580383884173e-05, 0.007207709811237389, 0.0, 0.0036202292047445217, 0.013558837205131282)",60
13,0,0,13,"(0.008454230104447302, 0.0, 0.0, 0.015729601905918704, 0.014918279475658146, 2.4699580383884173e-05, 0.007207709811237389, 0.0, 0.0036202292047445217, 0.013558837205131282)",1
14,0,1,13,"(0.008454230104447302, 0.0, 0.0, 0.015729601905918704, 0.014918279475658146, 3.170207648739196e-05, 0.007207709811237389, 0.0, 0.004797647685703279, 0.013558837205131282)",50
15,0,1,13,"(0.007247952120771694, 0.0, 0.0, 0.015729601905918704, 0.014918279475658146, 3.170207648739196e-05, 0.007207709811237389, 0.0, 0.0036202292047445217, 0.013558837205131282)",37
16,0,1,13,"(0.008454230104447302, 0.0, 0.0, 0.015729601905918704, 0.006975996724334844, 3.170207648739196e-05, 0.007207709811237389, 0.0, 0.0036202292047445217, 0.013558837205131282)",19
17,0,1,13,"(0.004024386358769373, 0.0, 0.0, 0.015729601905918704, 0.014934856717255153, 4.467798024916487e-05, 0.007207709811237389, 0.0, 0.0036202292047445217, 0.013558837205131282)",4
18,0,1,13,"(0.008454230104447302, 0.0, 0.0, 0.015729601905918704, 0.014918279475658146, 3.170207648739196e-05, 0.007207709811237389, 0.0, 0.0036202292047445217, 0.00835538777401664)",53
19,0,1,13,"(0.009512151397237321, 0.0, 0.0, 0.015729601905918704, 0.014918279475658146, 3.170207648739196e-05, 0.007207709811237389, 0.0, 0.0036202292047445217, 0.013558837205131282)",17
20,0,1,13,"(0.004024386358769373, 0.0, 0.0, 0.015729601905918704, 0.014934856717255153, 4.467798024916487e-05, 0.007207709811237389, 0.0, 0.0027097185487158807, 0.013558837205131282)",12
21,0,1,13,"(0.009388221281071125, 0.0, 0.0, 0.015729601905918704, 0.014918279475658146, 3.170207648739196e-05, 0.004661450794614125, 0.0, 0.0036202292047445217, 0.013558837205131282)",12
22,0,1,13,"(0.008454230104447302, 0.0, 0.0, 0.015729601905918704, 0.02099747234981428, 2.4699580383884173e-05, 0.007207709811237389, 0.0, 0.0036202292047445217, 0.013558837205131282)",36
23,0,1,13,"(0.004039957127779313, 0.0, 0.0, 0.015729601905918704, 0.005178484803015205, 4.467798024916487e-05, 0.007207709811237389, 0.0, 0.0036202292047445217, 0.013558837205131282)",110
24,0,1,13,"(0.008454230104447302, 0.0, 0.0, 0.015729601905918704, 0.014918279475658146, 2.4699580383884173e-05, 0.007207709811237389, 0.0, 0.0036202292047445217, 0.013558837205131282)",4
25,0,1,13,"(0.008454230104447302, 0.0, 0.0, 0.015729601905918704, 0.014918279475658146, 3.170207648739196e-05, 0.007207709811237389, 0.0, 0.0036202292047445217, 0.013558837205131282)",22
