,round,tube,tox,amount
0,0.0,0.0,0.0,651.9207933960068
1,0.0,0.0,1.0,700.0
2,0.0,0.0,2.0,700.0
3,0.0,0.0,3.0,621.0921538711112
4,0.0,0.0,4.0,612.7245375193563
5,0.0,0.0,5.0,699.8136921828261
6,0.0,0.0,6.0,655.5531784554138
7,0.0,0.0,7.0,700.0
8,0.0,0.0,8.0,679.3006895856644
9,0.0,0.0,9.0,623.1208682035669
10,0.0,1.0,0.0,651.5488072714104
11,0.0,1.0,1.0,700.0
12,0.0,1.0,2.0,700.0
13,0.0,1.0,3.0,618.6375211927999
14,0.0,1.0,4.0,613.8485022224011
15,0.0,1.0,5.0,699.8142905502231
16,0.0,1.0,6.0,656.0415029309912
17,0.0,1.0,7.0,700.0
18,0.0,1.0,8.0,679.1657562828821
19,0.0,1.0,9.0,622.6080926194754
20,0.0,2.0,0.0,651.4219938198456
21,0.0,2.0,1.0,700.0
22,0.0,2.0,2.0,700.0
23,0.0,2.0,3.0,623.7012719689201
24,0.0,2.0,4.0,611.8049814995368
25,0.0,2.0,5.0,699.8138980715239
26,0.0,2.0,6.0,653.3193363565404
27,0.0,2.0,7.0,700.0
28,0.0,2.0,8.0,679.0490994823124
29,0.0,2.0,9.0,622.0970540963594
