,round,tube,tox,amount
0,0.0,0.0,0.0,495.2114437026739
1,0.0,0.0,1.0,682.0348636698823
2,0.0,0.0,2.0,373.8832086981501
3,0.0,0.0,3.0,700.0
4,0.0,0.0,4.0,340.04626605735695
5,0.0,0.0,5.0,700.0
6,0.0,0.0,6.0,700.0
7,0.0,0.0,7.0,692.4715817179855
8,0.0,0.0,8.0,700.0
9,0.0,0.0,9.0,700.0
10,0.0,1.0,0.0,497.1900770968493
11,0.0,1.0,1.0,681.511530042645
12,0.0,1.0,2.0,378.49190476202546
13,0.0,1.0,3.0,700.0
14,0.0,1.0,4.0,340.4265868822335
15,0.0,1.0,5.0,700.0
16,0.0,1.0,6.0,700.0
17,0.0,1.0,7.0,692.544320058875
18,0.0,1.0,8.0,700.0
19,0.0,1.0,9.0,700.0
20,0.0,2.0,0.0,499.66336883957115
21,0.0,2.0,1.0,682.2401884332943
22,0.0,2.0,2.0,381.3601543825703
23,0.0,2.0,3.0,700.0
24,0.0,2.0,4.0,347.04810893038064
25,0.0,2.0,5.0,700.0
26,0.0,2.0,6.0,700.0
27,0.0,2.0,7.0,692.635242984986
28,0.0,2.0,8.0,700.0
29,0.0,2.0,9.0,700.0
