,round,tube,tox,amount
0,0.0,0.0,0.0,685.6349080602495
1,0.0,0.0,1.0,642.6130990256834
2,0.0,0.0,2.0,700.0
3,0.0,0.0,3.0,567.9783335206959
4,0.0,0.0,4.0,700.0
5,0.0,0.0,5.0,649.6089200818373
6,0.0,0.0,6.0,700.0
7,0.0,0.0,7.0,700.0
8,0.0,0.0,8.0,575.6755282736863
9,0.0,0.0,9.0,700.0
10,0.0,1.0,0.0,682.1600603840524
11,0.0,1.0,1.0,628.7314795880085
12,0.0,1.0,2.0,700.0
13,0.0,1.0,3.0,536.0429179384191
14,0.0,1.0,4.0,700.0
15,0.0,1.0,5.0,637.4195566103615
16,0.0,1.0,6.0,700.0
17,0.0,1.0,7.0,700.0
18,0.0,1.0,8.0,545.6020276316578
19,0.0,1.0,9.0,700.0
20,0.0,2.0,0.0,672.8102125130448
21,0.0,2.0,1.0,591.3799056371436
22,0.0,2.0,2.0,700.0
23,0.0,2.0,3.0,450.11360384590364
24,0.0,2.0,4.0,700.0
25,0.0,2.0,5.0,604.6213724242256
26,0.0,2.0,6.0,700.0
27,0.0,2.0,7.0,700.0
28,0.0,2.0,8.0,464.68260837836954
29,0.0,2.0,9.0,700.0
