,round,tube,sp,st,final_pop
0,0,0,11,"(0.0, 0.13777328916270104, 0.07272539253638714, 0.05804662966451383, 0.0, 0.2438918289056631, 0.0, 0.0, 0.12873704939550185, 0.0)",22
1,0,0,11,"(0.0, 0.12969323783418119, 0.07272539253638714, 0.04040033156174563, 0.0, 0.2438918289056631, 0.0, 0.0, 0.12873704939550185, 0.0)",52
2,0,0,11,"(0.0, 0.13777328916270104, 0.12067368062766115, 0.0460594940409433, 0.0, 0.12373892001324117, 0.0, 0.0, 0.11004593565930268, 0.0)",68
3,0,0,11,"(0.0, 0.13777328916270104, 0.07272539253638714, 0.04040033156174563, 0.0, 0.2438918289056631, 0.0, 0.0, 0.12873704939550185, 0.0)",15
4,0,1,11,"(0.0, 0.12969323783418119, 0.07272539253638714, 0.04040033156174563, 0.0, 0.2438918289056631, 0.0, 0.0, 0.12873704939550185, 0.0)",71
5,0,1,11,"(0.0, 0.13777328916270104, 0.07272539253638714, 0.05804662966451383, 0.0, 0.2438918289056631, 0.0, 0.0, 0.12873704939550185, 0.0)",70
6,0,1,11,"(0.0, 0.13777328916270104, 0.07272539253638714, 0.04040033156174563, 0.0, 0.2438918289056631, 0.0, 0.0, 0.12873704939550185, 0.0)",73
7,0,2,11,"(0.0, 0.13777328916270104, 0.07272539253638714, 0.04040033156174563, 0.0, 0.2438918289056631, 0.0, 0.0, 0.12873704939550185, 0.0)",50
8,0,2,11,"(0.0, 0.12969323783418119, 0.07272539253638714, 0.04040033156174563, 0.0, 0.2438918289056631, 0.0, 0.0, 0.12873704939550185, 0.0)",40
9,0,2,11,"(0.0, 0.13777328916270104, 0.12067368062766115, 0.0460594940409433, 0.0, 0.12373892001324117, 0.0, 0.0, 0.11004593565930268, 0.0)",59
10,0,2,11,"(0.0, 0.13777328916270104, 0.07272539253638714, 0.05804662966451383, 0.0, 0.2438918289056631, 0.0, 0.0, 0.12873704939550185, 0.0)",12
