,round,tube,sp,st,final_pop
0,0,0,8,"(0.19235562551390653, 0.046525949225991035, 0.0, 0.0, 0.07022106556493442, 0.0, 0.0841885583628024, 0.1116381245929446, 0.0, 0.0)",45
1,0,0,8,"(0.17502089582347957, 0.046471969896337124, 0.0, 0.0, 0.07022106556493442, 0.0, 0.05820200893020311, 0.1116381245929446, 0.0, 0.0)",82
2,0,0,8,"(0.19235562551390653, 0.03821088416617644, 0.0, 0.0, 0.07022106556493442, 0.0, 0.05820200893020311, 0.1116381245929446, 0.0, 0.0)",41
3,0,0,8,"(0.19235562551390653, 0.046525949225991035, 0.0, 0.0, 0.07022106556493442, 0.0, 0.05820200893020311, 0.1116381245929446, 0.0, 0.0)",130
4,0,1,8,"(0.19235562551390653, 0.046525949225991035, 0.0, 0.0, 0.07022106556493442, 0.0, 0.05820200893020311, 0.1116381245929446, 0.0, 0.0)",164
5,0,1,8,"(0.19235562551390653, 0.046525949225991035, 0.0, 0.0, 0.07022106556493442, 0.0, 0.0841885583628024, 0.1116381245929446, 0.0, 0.0)",12
6,0,1,8,"(0.17502089582347957, 0.046471969896337124, 0.0, 0.0, 0.07022106556493442, 0.0, 0.05820200893020311, 0.1116381245929446, 0.0, 0.0)",63
7,0,2,8,"(0.17502089582347957, 0.046471969896337124, 0.0, 0.0, 0.07022106556493442, 0.0, 0.05820200893020311, 0.1116381245929446, 0.0, 0.0)",3
8,0,2,8,"(0.19235562551390653, 0.046525949225991035, 0.0, 0.0, 0.07022106556493442, 0.0, 0.05820200893020311, 0.1116381245929446, 0.0, 0.0)",230
9,0,2,8,"(0.19235562551390653, 0.03821088416617644, 0.0, 0.0, 0.07022106556493442, 0.0, 0.05820200893020311, 0.1116381245929446, 0.0, 0.0)",17
10,0,2,8,"(0.19235562551390653, 0.046525949225991035, 0.0, 0.0, 0.07022106556493442, 0.0, 0.0841885583628024, 0.1116381245929446, 0.0, 0.0)",10
