,round,tube,tox,amount
0,0.0,0.0,0.0,531.4218281754128
1,0.0,0.0,1.0,644.2468017603526
2,0.0,0.0,2.0,700.0
3,0.0,0.0,3.0,536.8660109119118
4,0.0,0.0,4.0,677.1018526368883
5,0.0,0.0,5.0,700.0
6,0.0,0.0,6.0,602.3784422244668
7,0.0,0.0,7.0,700.0
8,0.0,0.0,8.0,588.459762688708
9,0.0,0.0,9.0,502.219238585458
10,0.0,1.0,0.0,533.4247696516344
11,0.0,1.0,1.0,654.8546486379296
12,0.0,1.0,2.0,700.0
13,0.0,1.0,3.0,543.8660997522538
14,0.0,1.0,4.0,677.7261903900304
15,0.0,1.0,5.0,700.0
16,0.0,1.0,6.0,601.7034458929472
17,0.0,1.0,7.0,700.0
18,0.0,1.0,8.0,579.9151281330865
19,0.0,1.0,9.0,474.6439954694345
20,0.0,2.0,0.0,534.8696289374377
21,0.0,2.0,1.0,655.6966789851887
22,0.0,2.0,2.0,700.0
23,0.0,2.0,3.0,545.6618919351514
24,0.0,2.0,4.0,677.8831920630234
25,0.0,2.0,5.0,700.0
26,0.0,2.0,6.0,602.472957468557
27,0.0,2.0,7.0,700.0
28,0.0,2.0,8.0,580.7738929566976
29,0.0,2.0,9.0,476.13403464587725
