,round,tube,tox,amount
0,0,0,0,700
1,0.0,0.0,1.0,522.2880007371638
2,0.0,0.0,2.0,341.4588499303196
3,0,0,3,700
4,0.0,0.0,4.0,673.3162590417804
5,0.0,0.0,5.0,416.68759622134235
6,0,0,6,700
7,0.0,0.0,7.0,339.09715944749473
8,0.0,0.0,8.0,426.3212392637087
9,0,0,9,700
10,0,1,0,700
11,0.0,1.0,1.0,535.2743495306208
12,0.0,1.0,2.0,367.6593341459368
13,0,1,3,700
14,0.0,1.0,4.0,675.2661800861388
15,0.0,1.0,5.0,437.39072098637644
16,0,1,6,700
17,0.0,1.0,7.0,365.47022478582466
18,0.0,1.0,8.0,446.3203831539641
19,0,1,9,700
20,0,2,0,700
21,0.0,2.0,1.0,633.13576365274
22,0.0,2.0,2.0,565.0986973422033
23,0,2,3,700
24,0.0,2.0,4.0,689.960227956127
25,0.0,2.0,5.0,593.403554037173
26,0,2,6,700
27,0.0,2.0,7.0,564.2101100139565
28,0.0,2.0,8.0,597.0282174698167
29,0,2,9,700
