,round,tube,sp,st,final_pop
0,0,0,1,"(0.0, 0.0, 0.10922905711608999, 0.0, 0.0, 0.07577624578880941, 0.0, 0.0, 0.0, 0.09965925051150999)",388
1,0,0,1,"(0.0, 0.0, 0.10922905711608999, 0.0, 0.0, 0.03638924503619512, 0.0, 0.0, 0.0, 0.09965925051150999)",56
2,0,0,1,"(0.0, 0.0, 0.10922905711608999, 0.0, 0.0, 0.05796874453420863, 0.0, 0.0, 0.0, 0.09965925051150999)",12
3,0,0,1,"(0.0, 0.0, 0.10922905711608999, 0.0, 0.0, 0.05618413505131957, 0.0, 0.0, 0.0, 0.09965925051150999)",17
4,0,0,1,"(0.0, 0.0, 0.17384499285857105, 0.0, 0.0, 0.07577624578880941, 0.0, 0.0, 0.0, 0.09965925051150999)",11
5,0,1,1,"(0.0, 0.0, 0.10922905711608999, 0.0, 0.0, 0.07577624578880941, 0.0, 0.0, 0.0, 0.09965925051150999)",393
6,0,1,1,"(0.0, 0.0, 0.10922905711608999, 0.0, 0.0, 0.05618413505131957, 0.0, 0.0, 0.0, 0.09965925051150999)",90
7,0,1,1,"(0.0, 0.0, 0.10922905711608999, 0.0, 0.0, 0.03638924503619512, 0.0, 0.0, 0.0, 0.09965925051150999)",36
8,0,1,1,"(0.0, 0.0, 0.10922905711608999, 0.0, 0.0, 0.05796874453420863, 0.0, 0.0, 0.0, 0.09965925051150999)",12
9,0,1,1,"(0.0, 0.0, 0.17384499285857105, 0.0, 0.0, 0.07577624578880941, 0.0, 0.0, 0.0, 0.09965925051150999)",7
10,0,2,1,"(0.0, 0.0, 0.17384499285857105, 0.0, 0.0, 0.07577624578880941, 0.0, 0.0, 0.0, 0.09965925051150999)",1
11,0,2,1,"(0.0, 0.0, 0.10922905711608999, 0.0, 0.0, 0.05618413505131957, 0.0, 0.0, 0.0, 0.09965925051150999)",17
12,0,2,1,"(0.0, 0.0, 0.10922905711608999, 0.0, 0.0, 0.07577624578880941, 0.0, 0.0, 0.0, 0.09965925051150999)",506
13,0,2,1,"(0.0, 0.0, 0.10922905711608999, 0.0, 0.0, 0.03638924503619512, 0.0, 0.0, 0.0, 0.09965925051150999)",11
14,0,2,1,"(0.0, 0.0, 0.10922905711608999, 0.0, 0.0, 0.05796874453420863, 0.0, 0.0, 0.0, 0.09965925051150999)",5
