,round,tube,tox,amount
0,0.0,0.0,0.0,485.42956593272385
1,0.0,0.0,1.0,274.96016504507844
2,0.0,0.0,2.0,0.0
3,0.0,0.0,3.0,9.40882922634963
4,0.0,0.0,4.0,700.0
5,0.0,0.0,5.0,0.0
6,0.0,0.0,6.0,700.0
7,0.0,0.0,7.0,538.3095765749492
8,0.0,0.0,8.0,700.0
9,0.0,0.0,9.0,242.51003962516157
10,0.0,1.0,0.0,491.0361261600491
11,0.0,1.0,1.0,278.6639055029503
12,0.0,1.0,2.0,0.0
13,0.0,1.0,3.0,15.426548622731111
14,0.0,1.0,4.0,700.0
15,0.0,1.0,5.0,0.0
16,0.0,1.0,6.0,700.0
17,0.0,1.0,7.0,515.9971681242888
18,0.0,1.0,8.0,700.0
19,0.0,1.0,9.0,246.4965461498746
20,0.0,2.0,0.0,498.07673446352464
21,0.0,2.0,1.0,294.2028626863663
22,0.0,2.0,2.0,0.0
23,0.0,2.0,3.0,40.67375077035
24,0.0,2.0,4.0,700.0
25,0.0,2.0,5.0,0.0
26,0.0,2.0,6.0,700.0
27,0.0,2.0,7.0,508.11957853586836
28,0.0,2.0,8.0,700.0
29,0.0,2.0,9.0,263.22184180801275
