,round,tube,tox,amount
0,0.0,0.0,0.0,550.387475358515
1,0.0,0.0,1.0,700.0
2,0.0,0.0,2.0,526.5883924881098
3,0.0,0.0,3.0,700.0
4,0.0,0.0,4.0,339.92942267109413
5,0.0,0.0,5.0,308.7095483772796
6,0.0,0.0,6.0,547.3669220861914
7,0.0,0.0,7.0,264.2582119019385
8,0.0,0.0,8.0,700.0
9,0.0,0.0,9.0,637.4847338292819
10,0.0,1.0,0.0,551.0706375714893
11,0.0,1.0,1.0,700.0
12,0.0,1.0,2.0,527.3802263123652
13,0.0,1.0,3.0,700.0
14,0.0,1.0,4.0,341.57358055844026
15,0.0,1.0,5.0,310.4962627682512
16,0.0,1.0,6.0,548.0638767798608
17,0.0,1.0,7.0,249.09375775642525
18,0.0,1.0,8.0,700.0
19,0.0,1.0,9.0,637.770191665678
20,0.0,2.0,0.0,554.5389995758234
21,0.0,2.0,1.0,700.0
22,0.0,2.0,2.0,531.4003057278139
23,0.0,2.0,3.0,700.0
24,0.0,2.0,4.0,349.92084367881597
25,0.0,2.0,5.0,319.5672742916447
26,0.0,2.0,6.0,551.6022621477274
27,0.0,2.0,7.0,261.5417780033889
28,0.0,2.0,8.0,700.0
29,0.0,2.0,9.0,639.2194391427647
