,round,tube,sp_div_H,tot_pop_0,tot_final_pop,tot_auc,mean_fc,deg_score,nut_score
0,0.0,0.0,0.6231502139978009,40.0,777.0,76824.0,19.42498057501943,0.39673872893212925,0.9998551082832234
1,0.0,1.0,0.8548107566298927,40.0,660.0,52891.0,16.4999835000165,0.41212853790524795,0.5889486815653912
2,0.0,2.0,0.0780532556659798,40.0,501.0,56755.0,12.524987475012525,0.19851606157366886,0.49999998678399027
3,0.0,3.0,0.9572591144002938,40.0,276.0,10776.0,6.899993100006901,0.47060834578106114,0.4676443698270676
4,0.0,4.0,0.9840836086202766,40.0,306.0,21040.0,7.64999235000765,0.32408913824309704,0.3926817475047063
5,0.0,5.0,0.4942101345739854,40.0,855.0,60274.0,21.374978625021377,0.4067591756175236,0.6705698082713668
6,0.0,6.0,0.8327063499982118,40.0,619.0,56734.0,15.474984525015476,0.4069609634126612,0.5686938216225004
7,0.0,7.0,0.6983359127452882,40.0,705.0,66370.0,17.624982375017623,0.3848366190838878,0.9997318705957104
8,0.0,8.0,0.5833562813254567,40.0,664.0,51089.0,16.599983400016598,0.42160674104233176,0.6417026050475398
9,0.0,9.0,0.2724897598410606,40.0,483.0,55840.0,12.074987925012076,0.20399569183685384,0.4999999326866962
10,0.0,10.0,1.0604618609726602,40.0,377.0,22184.0,9.424990575009424,0.5535525972120108,0.49999995170851597
11,0.0,11.0,0.8587686382602416,40.0,474.0,35479.0,11.84998815001185,0.5082870403307793,0.5593557332827164
12,0.0,12.0,0.7003498121998115,40.0,832.0,64969.0,20.7999792000208,0.44470717396302983,0.5711923607926812
13,0.0,13.0,0.4570402717370025,40.0,637.0,41449.0,15.924984075015926,0.47083004580915655,0.5627288133596067
14,0.0,14.0,0.6396857527948923,40.0,145.0,10469.0,3.624996375003625,0.34653083728282574,0.30528755350236747
15,0.0,15.0,0.9025107054594403,40.0,579.0,51350.0,14.474985525014475,0.3741629487331395,0.49999999882009905
16,0.0,16.0,0.4300726496820204,40.0,547.0,59411.0,13.674986325013675,0.23188323445466674,0.8821684450801427
17,0.0,17.0,0.7744183688072058,40.0,758.0,53118.0,18.94998105001895,0.3567795243477302,0.7294411858039918
18,0.0,18.0,1.2191729818433112,40.0,512.0,33075.0,12.799987200012799,0.5008020361418584,0.6630325034361145
19,0.0,19.0,0.8964919607381521,40.0,646.0,53416.0,16.14998385001615,0.4012004581448676,0.5872024641488787
20,0.0,20.0,0.11628576203844375,40.0,514.0,57251.0,12.849987150012849,0.2107853270214538,0.49999996612517306
21,1.0,0.0,0.6512641172698251,9.0,895.0,55146.0,131.8741314647982,0.45233755162376577,0.5606315151537471
22,1.0,1.0,-0.0,4.0,88.0,3452.0,14.66661777794074,0.1476748724993675,0.1341501318239292
23,1.0,2.0,-0.0,7.0,671.0,43720.0,55.91648027839907,0.22224395597390445,0.29613008034921917
24,1.0,3.0,1.131520137787265,18.0,651.0,34952.0,68.36604755043881,0.524279957823139,0.7843931397530879
25,1.0,4.0,0.46827768004739906,12.0,539.0,35183.0,30.349907458646914,0.38472402280791784,0.47336414891659895
26,1.0,5.0,0.8013975836318326,9.0,470.0,24837.0,97.04077632802156,0.4014574679283617,0.4707288188394191
27,1.0,6.0,0.30412274304339026,3.0,408.0,26663.0,194.74809876878103,0.28586416837128426,0.2928931938550916
28,1.0,7.0,0.8966650668959314,13.0,882.0,53621.0,73.65497489805422,0.38334846057958283,0.9804263797357461
29,1.0,8.0,0.16568567925760322,8.0,638.0,47696.0,54.04148215341469,0.2528929543370201,0.3811891454847378
30,1.0,9.0,0.5877181332751138,7.0,844.0,54037.0,97.79106757416534,0.4433466983675288,0.5152912743476659
31,1.0,10.0,0.8556181870835737,22.0,818.0,66837.0,46.70693671169703,0.36033244839842027,0.9997497320453069
32,1.0,11.0,0.08290933244090053,7.0,560.0,30861.0,69.99965000174998,0.3111216109532474,0.3624767846631861
33,1.0,12.0,0.5290899534317202,11.0,433.0,28397.0,29.52074862873387,0.3441540792370781,0.3831615036176286
34,1.0,13.0,0.013289106610639674,4.0,550.0,46164.0,91.99969000106667,0.22837122423322265,0.30612438832412914
35,1.0,14.0,0.35201130483977905,11.0,737.0,42118.0,86.44957926874672,0.35057475907975466,0.5105878379762371
