,round,tube,sp,pop_0,final_pop,st_div_H,auc,fc
0,0.0,0.0,0.0,15.0,129.0,0.13600216966487969,22840.0,8.599994266670489
1,0.0,0.0,8.0,4.0,115.0,0.14952453197150578,10405.0,28.74992812517969
2,0.0,0.0,13.0,62.0,1459.0,0.13632240024477457,130292.0,23.532254268991245
3,0.0,1.0,0.0,6.0,150.0,0.08005251731566218,22161.0,24.99995833340278
4,0.0,1.0,8.0,1.0,8.0,-0.0,850.0,7.9999200007999915
5,0.0,1.0,13.0,68.0,1626.0,0.26121778403471857,141714.0,23.91176118944688
6,0.0,2.0,0.0,8.0,164.0,0.07431395033855076,22695.0,20.499974375032032
7,0.0,2.0,8.0,2.0,34.0,0.5165455158887506,2565.0,16.999915000425
8,0.0,2.0,13.0,76.0,1464.0,0.23449173635391854,132025.0,19.263155360111135
9,0.0,3.0,0.0,4.0,214.0,0.0891439301459167,18780.0,53.49986625033438
10,0.0,3.0,8.0,2.0,47.0,0.10296666046541245,4140.0,23.499882500587496
11,0.0,3.0,13.0,63.0,1499.0,0.1852636293285571,132744.0,23.793647016881426
12,0.0,4.0,0.0,6.0,156.0,0.038760538515670184,21376.0,25.99995666673889
13,0.0,4.0,8.0,2.0,18.0,-0.0,1919.0,8.999955000224999
14,0.0,4.0,13.0,75.0,1555.0,0.09714733946589761,138256.0,20.733330568889258
15,0.0,5.0,0.0,7.0,135.0,0.08737526693107206,23770.0,19.285686734733236
16,0.0,5.0,8.0,3.0,144.0,-0.0,12994.0,47.99984000053333
17,0.0,5.0,13.0,64.0,1384.0,0.21811669115264687,122509.0,21.624996621094276
18,0.0,6.0,0.0,3.0,181.0,0.2610008092844265,21186.0,60.33313222289259
19,0.0,6.0,8.0,2.0,81.0,0.1157741583018883,6733.0,40.499797501012495
20,0.0,6.0,13.0,69.0,1417.0,0.1312643227791668,125878.0,20.53622890779291
21,0.0,7.0,0.0,6.0,181.0,0.19726034730043987,22675.0,30.166616388972688
22,0.0,7.0,8.0,1.0,41.0,0.11466528220290656,3835.0,40.99959000409996
23,0.0,7.0,13.0,89.0,1536.0,0.2168392342124933,137269.0,17.258425027143254
24,0.0,8.0,0.0,5.0,147.0,0.3150708788448176,22607.0,29.399941200117603
25,0.0,8.0,8.0,1.0,29.0,-0.0,2515.0,28.99971000289997
26,0.0,8.0,13.0,73.0,1513.0,0.24206947134821286,135933.0,20.726024558078826
27,0.0,9.0,0.0,6.0,155.0,0.13436000578984075,20472.0,25.83329027784954
28,0.0,9.0,8.0,4.0,68.0,0.18081639033462518,6312.0,16.99995750010625
29,0.0,9.0,13.0,72.0,1479.0,0.14814656593676323,131620.0,20.541663813657802
30,0.0,10.0,0.0,8.0,164.0,0.25098297781929446,24585.0,20.499974375032032
31,0.0,10.0,8.0,2.0,35.0,-0.0,2533.0,17.499912500437496
32,0.0,10.0,13.0,57.0,1601.0,0.13658872668580296,135059.0,28.087714370576425
33,0.0,11.0,0.0,10.0,153.0,0.41421114787845487,21336.0,15.299984700015301
34,0.0,11.0,8.0,2.0,77.0,-0.0,6182.0,38.4998075009625
35,0.0,11.0,13.0,59.0,1511.0,0.22733861777235967,129836.0,25.610165150819466
36,0.0,12.0,0.0,11.0,155.0,0.22160842036800088,21250.0,14.090896281003381
37,0.0,12.0,8.0,4.0,142.0,0.0740225961475812,13424.0,35.49991125022188
38,0.0,12.0,13.0,63.0,1359.0,0.11529615452653447,122167.0,21.571425147392834
39,0.0,13.0,0.0,3.0,156.0,0.28778387017842577,21247.0,51.99982666724444
40,0.0,13.0,8.0,5.0,60.0,-0.0,5332.0,11.999976000048001
41,0.0,13.0,13.0,92.0,1426.0,0.25989064000800643,126872.0,15.499998315217574
42,0.0,14.0,0.0,6.0,130.0,0.33379287873664687,22037.0,21.666630555615743
43,0.0,14.0,8.0,2.0,25.0,-0.0,1846.0,12.499937500312498
44,0.0,14.0,13.0,70.0,1502.0,0.22248185055748487,134181.0,21.45713979183717
45,0.0,15.0,0.0,7.0,176.0,0.07005432422378785,23005.0,25.14282122454111
46,0.0,15.0,8.0,1.0,50.0,-0.0,4188.0,49.999500004999945
47,0.0,15.0,13.0,75.0,1527.0,0.2361826593979425,135645.0,20.359997285333694
48,0.0,16.0,0.0,8.0,150.0,0.040048630190433046,25004.0,18.749976562529298
49,0.0,16.0,8.0,3.0,49.0,-0.0,4561.0,16.33327888907037
50,0.0,16.0,13.0,71.0,1512.0,0.27087028507874833,134680.0,21.295771648482866
51,0.0,17.0,0.0,8.0,164.0,0.14002432539412407,21674.0,20.499974375032032
52,0.0,17.0,8.0,2.0,70.0,0.07487597323206041,6565.0,34.99982500087499
53,0.0,17.0,13.0,70.0,1423.0,0.22159454904449977,124613.0,20.32856852449021
54,0.0,18.0,0.0,4.0,146.0,0.22605506083475851,20497.0,36.49990875022813
55,0.0,18.0,8.0,5.0,149.0,0.04027236958915692,13553.0,29.7999404001192
56,0.0,18.0,13.0,62.0,1281.0,0.2512728217944765,114758.0,20.661286990115002
57,0.0,19.0,0.0,12.0,148.0,0.12135826936557935,22411.0,12.33332305556412
58,0.0,19.0,13.0,78.0,1602.0,0.16602860336753256,140532.0,20.53845890532578
59,0.0,20.0,0.0,7.0,157.0,0.42282014031577214,23204.0,22.428539387800875
60,0.0,20.0,8.0,2.0,22.0,-0.0,1841.0,10.999945000274998
61,0.0,20.0,13.0,71.0,1625.0,0.24235022106388276,141564.0,22.887320720095673
