,round,tube,tox,amount
0,0,0,0,0
1,0,0,1,0
2,0.0,0.0,2.0,0.0
3,0,0,3,0
4,0.0,0.0,4.0,642.1374614274464
5,0.0,0.0,5.0,0.0
6,0.0,0.0,6.0,389.3307647186172
7,0.0,0.0,7.0,425.45770910908914
8,0.0,0.0,8.0,0.0
9,0.0,0.0,9.0,293.4824317086891
10,0.0,1.0,0.0,0.0
11,0.0,1.0,1.0,0.0
12,0.0,1.0,2.0,0.0
13,0,1,3,0
14,0.0,1.0,4.0,554.7863086261459
15,0.0,1.0,5.0,0.0
16,0.0,1.0,6.0,360.83212003303834
17,0.0,1.0,7.0,406.703053319986
18,0.0,1.0,8.0,0.0
19,0.0,1.0,9.0,463.43817126789486
20,0,2,0,0
21,0,2,1,0
22,0,2,2,0
23,0,2,3,0
24,0,2,4,700
25,0,2,5,0
26,0.0,2.0,6.0,254.9945806051365
27,0.0,2.0,7.0,465.8134973671689
28,0,2,8,0
29,0.0,2.0,9.0,403.66958529854435
30,0,3,0,0
31,0,3,1,0
32,0.0,3.0,2.0,0.0
33,0,3,3,0
34,0.0,3.0,4.0,438.0352549947136
35,0.0,3.0,5.0,8.422069259864562
36,0.0,3.0,6.0,431.320978660528
37,0.0,3.0,7.0,341.6955280512615
38,0.0,3.0,8.0,0.0
39,0.0,3.0,9.0,654.1400906483751
40,0,4,0,0
41,0,4,1,0
42,0.0,4.0,2.0,0.0
43,0,4,3,0
44,0.0,4.0,4.0,433.6693682224714
45,0.0,4.0,5.0,50.588609049369474
46,0.0,4.0,6.0,447.16325555322004
47,0.0,4.0,7.0,359.50145706638995
48,0.0,4.0,8.0,0.0
49,0.0,4.0,9.0,657.6506326202747
50,0,5,0,0
51,0,5,1,0
52,0.0,5.0,2.0,0.0
53,0,5,3,0
54,0.0,5.0,4.0,414.25162799374
55,0.0,5.0,5.0,156.81894129055618
56,0.0,5.0,6.0,486.8382884243905
57,0.0,5.0,7.0,370.4757796877087
58,0.0,5.0,8.0,0.0
59,0.0,5.0,9.0,665.2127895815211
60,0,6,0,0
61,0,6,1,0
62,0.0,6.0,2.0,0.0
63,0,6,3,0
64,0.0,6.0,4.0,421.53019965432674
65,0.0,6.0,5.0,0.0
66,0.0,6.0,6.0,390.0548530453921
67,0.0,6.0,7.0,364.9696927366444
68,0.0,6.0,8.0,0.0
69,0.0,6.0,9.0,646.5023149980368
70,0,7,0,0
71,0,7,1,0
72,0.0,7.0,2.0,0.0
73,0,7,3,0
74,0.0,7.0,4.0,434.4223483301463
75,0.0,7.0,5.0,23.46559900704049
76,0.0,7.0,6.0,427.50018466815123
77,0.0,7.0,7.0,343.84477164087957
78,0.0,7.0,8.0,0.0
79,0.0,7.0,9.0,653.7186228925707
80,0,8,0,0
81,0,8,1,0
82,0.0,8.0,2.0,0.0
83,0,8,3,0
84,0.0,8.0,4.0,430.7517250660648
85,0.0,8.0,5.0,27.676588747816307
86,0.0,8.0,6.0,438.2360944930112
87,0.0,8.0,7.0,367.3015479503561
88,0.0,8.0,8.0,0.0
89,0.0,8.0,9.0,655.9066617834621
90,0,9,0,0
91,0,9,1,0
92,0.0,9.0,2.0,0.0
93,0,9,3,0
94,0.0,9.0,4.0,232.3207433936101
95,0.0,9.0,5.0,48.63851794159974
96,0.0,9.0,6.0,459.974010974266
97,0.0,9.0,7.0,392.5880191769757
98,0.0,9.0,8.0,0.0
99,0.0,9.0,9.0,659.3602163231129
100,0.0,10.0,0.0,0.0
101,0.0,10.0,1.0,104.42625671815627
102,0.0,10.0,2.0,0.0
103,0,10,3,0
104,0.0,10.0,4.0,412.3181567152592
105,0.0,10.0,5.0,113.7297535579294
106,0.0,10.0,6.0,470.06485520533045
107,0.0,10.0,7.0,525.9764420404522
108,0.0,10.0,8.0,0.0
109,0.0,10.0,9.0,662.1885447629766
110,0,11,0,0
111,0,11,1,0
112,0.0,11.0,2.0,0.0
113,0,11,3,0
114,0.0,11.0,4.0,461.2100846061061
115,0.0,11.0,5.0,0.0
116,0.0,11.0,6.0,355.6998380816913
117,0.0,11.0,7.0,334.49180659725204
118,0.0,11.0,8.0,0.0
119,0.0,11.0,9.0,640.1293527783384
120,0,12,0,0
121,0,12,1,0
122,0.0,12.0,2.0,0.0
123,0,12,3,0
124,0.0,12.0,4.0,436.325174490742
125,0.0,12.0,5.0,0.0
126,0.0,12.0,6.0,370.954608152835
127,0.0,12.0,7.0,357.09982296947743
128,0.0,12.0,8.0,0.0
129,0.0,12.0,9.0,644.1218858653572
130,0.0,13.0,0.0,0.0
131,0,13,1,0
132,0.0,13.0,2.0,0.0
133,0,13,3,0
134,0.0,13.0,4.0,520.3322576372346
135,0.0,13.0,5.0,14.624221167027384
136,0.0,13.0,6.0,435.51706919839285
137,0.0,13.0,7.0,476.3470499851589
138,0.0,13.0,8.0,0.0
139,0.0,13.0,9.0,653.8951919202146
140,0,14,0,0
141,0,14,1,0
142,0.0,14.0,2.0,0.0
143,0,14,3,0
144,0.0,14.0,4.0,443.82399735303414
145,0.0,14.0,5.0,19.467988791904947
146,0.0,14.0,6.0,435.46751960449933
147,0.0,14.0,7.0,346.36112844255706
148,0.0,14.0,8.0,0.0
149,0.0,14.0,9.0,655.1954389556822
150,0,15,0,0
151,0,15,1,0
152,0.0,15.0,2.0,0.0
153,0,15,3,0
154,0.0,15.0,4.0,426.8528047721376
155,0.0,15.0,5.0,0.0
156,0.0,15.0,6.0,373.70155605347725
157,0.0,15.0,7.0,340.17733038868033
158,0.0,15.0,8.0,0.0
159,0.0,15.0,9.0,644.0190865039158
160,0,16,0,0
161,0,16,1,0
162,0.0,16.0,2.0,0.0
163,0,16,3,0
164,0.0,16.0,4.0,314.83276045672807
165,0.0,16.0,5.0,69.99239328520378
166,0.0,16.0,6.0,388.684189944873
167,0.0,16.0,7.0,359.9516917536379
168,0.0,16.0,8.0,0.0
169,0.0,16.0,9.0,592.0245578452929
170,0,17,0,0
171,0,17,1,0
172,0.0,17.0,2.0,0.0
173,0,17,3,0
174,0.0,17.0,4.0,426.9009781908339
175,0.0,17.0,5.0,0.0
176,0.0,17.0,6.0,415.26994825135796
177,0.0,17.0,7.0,382.2396787998421
178,0.0,17.0,8.0,0.0
179,0.0,17.0,9.0,652.9136237616636
180,0,18,0,0
181,0,18,1,0
182,0.0,18.0,2.0,0.0
183,0,18,3,0
184,0.0,18.0,4.0,431.96775039508526
185,0.0,18.0,5.0,122.6030108753272
186,0.0,18.0,6.0,474.29912428352617
187,0.0,18.0,7.0,369.7860761284095
188,0.0,18.0,8.0,0.0
189,0.0,18.0,9.0,663.0509166151434
190,0.0,19.0,0.0,0.0
191,0.0,19.0,1.0,0.0
192,0.0,19.0,2.0,0.0
193,0,19,3,0
194,0.0,19.0,4.0,441.6755497928555
195,0.0,19.0,5.0,108.54393219376536
196,0.0,19.0,6.0,387.39415913987125
197,0.0,19.0,7.0,462.3687549923598
198,0.0,19.0,8.0,0.0
199,0.0,19.0,9.0,667.7080883744823
200,0,20,0,0
201,0,20,1,0
202,0.0,20.0,2.0,0.0
203,0,20,3,0
204,0.0,20.0,4.0,420.17417472735315
205,0.0,20.0,5.0,46.67091110356702
206,0.0,20.0,6.0,445.0883771089904
207,0.0,20.0,7.0,367.25798251497616
208,0.0,20.0,8.0,0.0
209,0.0,20.0,9.0,654.8355928905335
