,round,tube,sp,pop_0,final_pop,st_div_H,auc,fc
0,0.0,0.0,8.0,31.0,454.0,0.23582367975905696,54980.0,14.645156566078528
1,0.0,0.0,11.0,3.0,112.0,-0.0,5632.0,37.3332088893037
2,0.0,0.0,12.0,1.0,20.0,0.1985152433458726,2044.0,19.99980000199998
3,0.0,0.0,13.0,16.0,407.0,0.12947303260461016,42577.0,25.437484101572437
4,0.0,1.0,3.0,14.0,0.0,,422.0,0.0
5,0.0,1.0,5.0,5.0,2.0,-0.0,1006.0,0.39999920000160005
6,0.0,1.0,8.0,29.0,405.0,0.2189408381445493,48024.0,13.96551242568537
7,0.0,1.0,11.0,1.0,81.0,-0.0,1899.0,80.99919000809992
8,0.0,1.0,13.0,12.0,339.0,0.12909232252742328,35864.0,28.249976458352954
9,0.0,2.0,3.0,12.0,0.0,,582.0,0.0
10,0.0,2.0,8.0,23.0,486.0,0.20535717038268098,55883.0,21.130425595467134
11,0.0,2.0,11.0,2.0,16.0,-0.0,1184.0,7.999960000199999
12,0.0,2.0,12.0,5.0,53.0,-0.0,8537.0,10.5999788000424
13,0.0,2.0,13.0,11.0,282.0,0.047080514599851575,29041.0,25.6363403305997
14,0.0,3.0,8.0,19.0,481.0,0.1725353557739288,52931.0,25.3157761495915
15,0.0,3.0,11.0,2.0,89.0,-0.0,4742.0,44.49977750111249
16,0.0,3.0,12.0,2.0,26.0,-0.0,2277.0,12.999935000324998
17,0.0,3.0,13.0,11.0,401.0,0.16449258306055867,39789.0,36.454512314079714
18,0.0,4.0,8.0,20.0,466.0,0.20822654827498432,55318.0,23.299988350005826
19,0.0,4.0,11.0,3.0,132.0,0.08901799410738814,4583.0,43.99985333382222
20,0.0,4.0,13.0,15.0,381.0,0.11283390090750281,36462.0,25.399983066677954
21,0.0,5.0,8.0,29.0,545.0,0.18179107513834025,62189.0,18.793096967897597
22,0.0,5.0,11.0,3.0,92.0,0.20898174665423647,5196.0,30.666564444785184
23,0.0,5.0,12.0,1.0,0.0,,77.0,0.0
24,0.0,5.0,13.0,10.0,362.0,0.08743354105900054,36968.0,36.1999638000362
25,0.0,6.0,8.0,15.0,605.0,0.7504757467304398,60459.0,40.33330644446237
26,0.0,6.0,13.0,18.0,422.0,0.27278982414258846,43347.0,23.444431419760324
27,0.0,7.0,8.0,31.0,484.0,0.2394579762687404,58544.0,15.61289818938768
28,0.0,7.0,11.0,3.0,111.0,0.17539937110126844,4861.0,36.99987666707778
29,0.0,7.0,12.0,1.0,24.0,-0.0,1284.0,23.999760002399974
30,0.0,7.0,13.0,11.0,340.0,0.18856584945002408,33489.0,30.909062809942903
31,0.0,8.0,8.0,30.0,440.0,0.4159901638585598,57906.0,14.666661777779408
32,0.0,8.0,11.0,3.0,95.0,-0.0,2644.0,31.66656111146296
33,0.0,8.0,12.0,2.0,16.0,-0.0,878.0,7.999960000199999
34,0.0,8.0,13.0,13.0,387.0,0.12211624239700702,40386.0,29.769207869840102
35,0.0,9.0,8.0,25.0,453.0,0.516910216175469,58089.0,18.1199927520029
36,0.0,9.0,13.0,14.0,395.0,0.2700158687570008,39674.0,28.214265561238886
37,0.0,10.0,8.0,27.0,449.0,0.3182832052599628,53894.0,16.629623470509827
38,0.0,10.0,11.0,2.0,37.0,0.21028341228613337,2292.0,18.4999075004625
39,0.0,10.0,12.0,2.0,56.0,-0.0,6278.0,27.999860000699996
40,0.0,10.0,13.0,14.0,404.0,0.11772923985735186,40781.0,28.857122244912684
41,0.0,11.0,8.0,30.0,470.0,0.2211553257866758,58298.0,15.666661444446186
42,0.0,11.0,11.0,8.0,150.0,-0.0,7860.0,18.749976562529298
43,0.0,11.0,13.0,15.0,341.0,0.13596638926199822,33545.0,22.733318177787883
44,0.0,12.0,8.0,22.0,482.0,0.19988162811629703,53757.0,21.90908095041775
45,0.0,12.0,11.0,4.0,155.0,0.1425058673927378,7783.0,38.74990312524219
46,0.0,12.0,13.0,14.0,414.0,0.15475477507036572,41207.0,29.57140744899468
47,0.0,13.0,8.0,21.0,441.0,0.19567504678943692,56249.0,20.99999000000476
48,0.0,13.0,11.0,1.0,19.0,-0.0,444.0,18.99981000189998
49,0.0,13.0,13.0,9.0,359.0,0.1340238541971085,36579.0,39.88884456795048
50,0.0,14.0,8.0,33.0,399.0,0.13722102134998776,57728.0,12.090905426998354
51,0.0,14.0,13.0,14.0,331.0,0.17201420393096276,35587.0,23.642840255114105
52,0.0,15.0,5.0,15.0,11.0,-0.0,1978.0,0.7333328444447704
53,0.0,15.0,6.0,12.0,113.0,0.20753611868763,8857.0,9.416658819450983
54,0.0,15.0,8.0,22.0,373.0,0.10749238050937271,46133.0,16.954537747937387
55,0.0,15.0,11.0,2.0,23.0,0.17884491271684755,1162.0,11.499942500287498
56,0.0,15.0,12.0,1.0,10.0,-0.0,1115.0,9.99990000099999
57,0.0,15.0,13.0,16.0,327.0,0.13080160856963466,36438.0,20.437487226570482
