,round,tube,tox,amount
0,0.0,0.0,0.0,0.0
1,0.0,0.0,1.0,0.0
2,0.0,0.0,2.0,220.41104906447043
3,0.0,0.0,3.0,0.0
4,0.0,0.0,4.0,526.2360536099742
5,0.0,0.0,5.0,0.0
6,0.0,0.0,6.0,161.451638398228
7,0.0,0.0,7.0,0.0
8,0.0,0.0,8.0,0.0
9,0.0,0.0,9.0,0.0
10,0.0,1.0,0.0,0.0
11,0.0,1.0,1.0,0.0
12,0.0,1.0,2.0,434.78285643188303
13,0.0,1.0,3.0,0.0
14,0.0,1.0,4.0,495.80137732068977
15,0.0,1.0,5.0,0.0
16,0.0,1.0,6.0,315.33646585546876
17,0.0,1.0,7.0,297.97078498449736
18,0.0,1.0,8.0,0.0
19,0.0,1.0,9.0,0.0
20,0.0,2.0,0.0,273.0743723583312
21,0.0,2.0,1.0,0.0
22,0.0,2.0,2.0,261.7984235861781
23,0.0,2.0,3.0,206.99811487678338
24,0.0,2.0,4.0,159.120763702486
25,0.0,2.0,5.0,0.0
26,0.0,2.0,6.0,379.3494912417913
27,0.0,2.0,7.0,119.16526189370012
28,0.0,2.0,8.0,0.0
29,0.0,2.0,9.0,0.0
30,0.0,3.0,0.0,0.0
31,0.0,3.0,1.0,0.0
32,0.0,3.0,2.0,416.5852121179326
33,0.0,3.0,3.0,203.43454494468628
34,0.0,3.0,4.0,598.0571676860558
35,0.0,3.0,5.0,0.0
36,0.0,3.0,6.0,29.12263543876265
37,0.0,3.0,7.0,0.0
38,0.0,3.0,8.0,0.0
39,0.0,3.0,9.0,0.0
40,0.0,4.0,0.0,0.0
41,0.0,4.0,1.0,0.0
42,0.0,4.0,2.0,155.81459490322737
43,0.0,4.0,3.0,62.60976695595031
44,0.0,4.0,4.0,595.6632448956243
45,0.0,4.0,5.0,0.0
46,0.0,4.0,6.0,0.0
47,0.0,4.0,7.0,0.0
48,0.0,4.0,8.0,0.0
49,0.0,4.0,9.0,0.0
50,0.0,5.0,0.0,0.0
51,0.0,5.0,1.0,0.0
52,0.0,5.0,2.0,0.0
53,0.0,5.0,3.0,292.9944932385447
54,0.0,5.0,4.0,641.6739601538328
55,0.0,5.0,5.0,0.0
56,0.0,5.0,6.0,0.0
57,0.0,5.0,7.0,163.1800172361658
58,0.0,5.0,8.0,0.0
59,0.0,5.0,9.0,76.22575565956404
60,0.0,6.0,0.0,277.952006457979
61,0.0,6.0,1.0,0.0
62,0.0,6.0,2.0,368.74071519815794
63,0.0,6.0,3.0,104.07516921754403
64,0.0,6.0,4.0,0.0
65,0.0,6.0,5.0,151.6421693986056
66,0.0,6.0,6.0,361.0779888288534
67,0.0,6.0,7.0,305.54361657484645
68,0.0,6.0,8.0,0.0
69,0.0,6.0,9.0,171.6261419430677
70,0.0,7.0,0.0,155.26142727506704
71,0.0,7.0,1.0,0.0
72,0.0,7.0,2.0,171.84631419746893
73,0.0,7.0,3.0,286.2549144477026
74,0.0,7.0,4.0,529.0657683323155
75,0.0,7.0,5.0,0.0
76,0.0,7.0,6.0,328.6898480818534
77,0.0,7.0,7.0,0.0
78,0.0,7.0,8.0,0.0
79,0.0,7.0,9.0,0.0
80,0.0,8.0,0.0,116.61657691705398
81,0.0,8.0,1.0,0.0
82,0.0,8.0,2.0,130.3571935311175
83,0.0,8.0,3.0,264.49172551960083
84,0.0,8.0,4.0,521.0220058972303
85,0.0,8.0,5.0,0.0
86,0.0,8.0,6.0,298.25182873929225
87,0.0,8.0,7.0,0.0
88,0.0,8.0,8.0,0.0
89,0.0,8.0,9.0,0.0
90,0.0,9.0,0.0,0.0
91,0.0,9.0,1.0,0.0
92,0.0,9.0,2.0,151.58407183803226
93,0.0,9.0,3.0,121.9007984597211
94,0.0,9.0,4.0,559.017718468153
95,0.0,9.0,5.0,0.0
96,0.0,9.0,6.0,0.0
97,0.0,9.0,7.0,0.0
98,0.0,9.0,8.0,0.0
99,0.0,9.0,9.0,0.0
100,0.0,10.0,0.0,238.9874232075962
101,0.0,10.0,1.0,0.0
102,0.0,10.0,2.0,478.80975308544157
103,0.0,10.0,3.0,92.24710117851616
104,0.0,10.0,4.0,0.0
105,0.0,10.0,5.0,396.6913838082053
106,0.0,10.0,6.0,329.26262153418827
107,0.0,10.0,7.0,266.09934165157296
108,0.0,10.0,8.0,0.0
109,0.0,10.0,9.0,175.83201818230518
110,0.0,11.0,0.0,159.14212605828212
111,0.0,11.0,1.0,212.16967410127324
112,0.0,11.0,2.0,426.0483017548679
113,0.0,11.0,3.0,425.37983924767155
114,0.0,11.0,4.0,40.97041547019733
115,0.0,11.0,5.0,502.53814972658716
116,0.0,11.0,6.0,113.1556220451425
117,0.0,11.0,7.0,267.53963950457984
118,0.0,11.0,8.0,251.75676589200216
