,round,tube,sp_div_H,tot_pop_0,tot_final_pop,tot_auc,mean_fc,deg_score,nut_score
0,0.0,0.0,1.4675189164899405,81.0,632.0,41441.0,8.264187438918821,0.6898621409268936,0.9998703152826696
1,0.0,1.0,1.1044039411522408,98.0,814.0,77198.0,8.66422311852625,0.4546798869307347,0.9997796031264273
2,0.0,2.0,1.2147674822370826,55.0,626.0,23021.0,10.203356885464107,0.6591503211865639,0.8798062907377258
3,0.0,3.0,1.3062256362266966,86.0,549.0,40464.0,4.9786857546635375,0.585234498876005,0.7768697719233426
4,0.0,4.0,1.479997018281161,80.0,515.0,32683.0,10.093293995011352,0.6741477186409108,0.9043545595547955
5,0.0,5.0,1.4335766782240058,110.0,633.0,43602.0,4.7188297580350165,0.6987342402890269,0.9997366563353391
6,0.0,6.0,1.6270174232844294,78.0,412.0,34157.0,7.566543320523132,0.6168054564951413,0.9910433220017798
7,0.0,7.0,1.601540862233009,107.0,782.0,54627.0,8.172572797430878,0.6781786759752919,0.9997178806542465
8,0.0,8.0,1.4566628683129175,81.0,468.0,36800.0,5.708280893692625,0.6397975872926471,0.9979048592642008
9,0.0,9.0,1.4159691420248337,78.0,710.0,46439.0,10.609309282609559,0.6986440824996054,0.999818401199664
10,0.0,10.0,1.6933108749469077,99.0,573.0,45940.0,6.068666446602234,0.5823552874276291,0.9997650132596677
11,0.0,11.0,1.4828861337883001,92.0,569.0,39385.0,5.971198721616698,0.717919835925821,0.9997419067580147
12,0.0,12.0,1.4467455803924354,100.0,630.0,41739.0,5.941888187220151,0.7335220461442652,0.9997516899303089
13,0.0,13.0,1.698285982108713,98.0,703.0,45262.0,10.43960426569846,0.6409408359356423,0.999888010190894
14,0.0,14.0,1.4563755728127945,88.0,727.0,47074.0,8.997513081529185,0.7210222499938446,0.9998079934834118
15,0.0,15.0,1.4389517183128675,88.0,593.0,39245.0,6.800549132012162,0.7317995023759449,0.9998614296504611
16,0.0,16.0,1.4843881385983537,83.0,517.0,34933.0,6.043202365579877,0.6860539443048715,0.9497146594753332
17,0.0,17.0,1.399540160779753,116.0,758.0,50505.0,6.102100999686362,0.701030014174384,0.9998103898265025
18,0.0,18.0,1.5228184614201155,92.0,510.0,34547.0,5.972062754457046,0.6706487906122016,0.999774598488592
19,0.0,19.0,1.419687652375602,70.0,569.0,36275.0,10.278372465476142,0.6477329718406326,0.9144108761265932
20,0.0,20.0,1.3594773672714988,81.0,605.0,37859.0,9.421871775504542,0.6509785335551628,0.9504899005496732
