,round,tube,sp,st,final_pop
0,0,0,0,"(0.0, 0.0, 0.0, 0.0342408253041974, 0.04356372842177486, 0.0, 0.03683897489672214, 0.0, 0.07098281781122052, 0.0)",3
1,0,0,0,"(0.0, 0.0, 0.0, 0.07632670859232697, 0.04356372842177486, 0.0, 0.040255861426293824, 0.0, 0.07098281781122052, 0.0)",1
2,0,0,0,"(0.0, 0.0, 0.0, 0.07632670859232697, 0.04356372842177486, 0.0, 0.03683897489672214, 0.0, 0.07098281781122052, 0.0)",1
3,0,0,0,"(0.0, 0.0, 0.0, 0.06373288382390217, 0.06350484822767775, 0.0, 0.03683897489672214, 0.0, 0.07098281781122052, 0.0)",2
4,0,0,0,"(0.0, 0.0, 0.0, 0.06373288382390217, 0.08972692352629853, 0.0, 0.03683897489672214, 0.0, 0.07098281781122052, 0.0)",2
5,0,0,0,"(0.0, 0.0, 0.0, 0.06373288382390217, 0.04356372842177486, 0.0, 0.0809984360098715, 0.0, 0.07098281781122052, 0.0)",2
6,0,0,0,"(0.0, 0.0, 0.0, 0.06373288382390217, 0.04356372842177486, 0.0, 0.03683897489672214, 0.0, 0.07098281781122052, 0.0)",154
7,0,0,8,"(0.0, 0.016643627919484913, 0.041405193554609136, 0.0, 0.0, 0.0, 0.0002655487249384837, 0.0, 0.0, 0.0)",1
8,0,0,8,"(0.0, 0.016643627919484913, 0.02852076469392659, 0.0, 0.0, 0.0, 0.00026087500255182283, 0.0, 0.0, 0.0)",377
9,0,0,8,"(0.0, 0.021548419229298118, 0.013074688492482047, 0.0, 0.0, 0.0, 0.0003157394389438211, 0.0, 0.0, 0.0)",3
10,0,0,8,"(0.0, 0.015123251142145645, 0.02852076469392659, 0.0, 0.0, 0.0, 0.00027721941287349157, 0.0, 0.0, 0.0)",1
11,0,0,10,"(0.05690955326154696, 0.003983248689718548, 0.06832740139210945, 0.0, 0.10772597225744233, 0.0, 0.0, 0.0022730731527826477, 0.0, 0.0)",1
12,0,0,10,"(0.06183229356803319, 0.003983248689718548, 0.06832740139210945, 0.0, 0.10772597225744233, 0.0, 0.0, 0.0022730731527826477, 0.0, 0.0)",52
13,0,0,10,"(0.04696327128277609, 0.002897407612425934, 0.06832740139210945, 0.0, 0.10772597225744233, 0.0, 0.0, 0.0022730731527826477, 0.0, 0.0)",1
14,0,1,0,"(0.0, 0.0, 0.0, 0.06454664201020809, 0.032340263624873564, 0.0, 0.03683897489672214, 0.0, 0.07098281781122052, 0.0)",1
15,0,1,0,"(0.0, 0.0, 0.0, 0.06373288382390217, 0.03240539270898188, 0.0, 0.03683897489672214, 0.0, 0.07098281781122052, 0.0)",3
16,0,1,0,"(0.0, 0.0, 0.0, 0.06373288382390217, 0.04356372842177486, 0.0, 0.026482804923181797, 0.0, 0.10894744941609763, 0.0)",1
17,0,1,0,"(0.0, 0.0, 0.0, 0.06373288382390217, 0.04356372842177486, 0.0, 0.03683897489672214, 0.0, 0.07098281781122052, 0.0)",256
18,0,1,8,"(0.0, 0.007512171832253817, 0.02852076469392659, 0.0, 0.0, 0.0, 0.00025778934344793396, 0.0, 0.0, 0.0)",1
19,0,1,8,"(0.0, 0.016643627919484913, 0.02852076469392659, 0.0, 0.0, 0.0, 0.0002103721463229265, 0.0, 0.0, 0.0)",6
20,0,1,8,"(0.0, 0.0113032863888976, 0.02852076469392659, 0.0, 0.0, 0.0, 0.00026087500255182283, 0.0, 0.0, 0.0)",1
21,0,1,8,"(0.0, 0.016643627919484913, 0.02852076469392659, 0.0, 0.0, 0.0, 0.0001859096183280073, 0.0, 0.0, 0.0)",1
