,round,tube,tox,amount
0,0,0,0,700
1,0.0,0.0,1.0,586.0987871821704
2,0.0,0.0,2.0,504.87723954312753
3,0.0,0.0,3.0,559.2070543779639
4,0.0,0.0,4.0,0.0
5,0,0,5,700
6,0.0,0.0,6.0,615.6645218118357
7,0.0,0.0,7.0,463.2895268106347
8,0.0,0.0,8.0,541.3558338207204
9,0.0,0.0,9.0,0.0
10,0,1,0,700
11,0.0,1.0,1.0,588.0366743789222
12,0.0,1.0,2.0,507.91869703351557
13,0.0,1.0,3.0,559.5870138110761
14,0.0,1.0,4.0,0.0
15,0,1,5,700
16,0.0,1.0,6.0,617.7064950973089
17,0.0,1.0,7.0,465.08402643701584
18,0.0,1.0,8.0,543.7250187867302
19,0.0,1.0,9.0,0.0
20,0,2,0,700
21,0.0,2.0,1.0,574.8744124028015
22,0.0,2.0,2.0,490.17388868390566
23,0.0,2.0,3.0,527.8424324462754
24,0.0,2.0,4.0,87.29018464981564
25,0,2,5,700
26,0.0,2.0,6.0,598.5770511297559
27,0.0,2.0,7.0,521.3176893015734
28,0.0,2.0,8.0,508.0645858144152
29,0.0,2.0,9.0,143.75980164038893
30,0,3,0,700
31,0.0,3.0,1.0,583.9464469421202
32,0.0,3.0,2.0,500.65267658866816
33,0.0,3.0,3.0,566.4167088958395
34,0.0,3.0,4.0,0.0
35,0,3,5,700
36,0.0,3.0,6.0,619.928474652739
37,0.0,3.0,7.0,472.6604279252117
38,0.0,3.0,8.0,552.9321056974082
39,0.0,3.0,9.0,0.0
40,0,4,0,700
41,0.0,4.0,1.0,592.1841166616446
42,0.0,4.0,2.0,515.2357504901329
43,0.0,4.0,3.0,561.2188952875105
44,0.0,4.0,4.0,0.0
45,0,4,5,700
46,0.0,4.0,6.0,618.6870902817266
47,0.0,4.0,7.0,459.77203770476393
48,0.0,4.0,8.0,545.6960162003915
49,0.0,4.0,9.0,0.0
50,0,5,0,700
51,0.0,5.0,1.0,591.5473582455184
52,0.0,5.0,2.0,514.6281759349572
53,0.0,5.0,3.0,586.9100922866066
54,0,5,4,0
55,0,5,5,700
56,0.0,5.0,6.0,632.9748249954222
57,0.0,5.0,7.0,448.45212409704635
58,0.0,5.0,8.0,573.9724869828171
59,0,5,9,0
60,0.0,6.0,0.0,697.1300085938267
61,0.0,6.0,1.0,561.1637966253298
62,0.0,6.0,2.0,510.76973771222225
63,0.0,6.0,3.0,552.3684740820722
64,0.0,6.0,4.0,0.0
65,0,6,5,700
66,0.0,6.0,6.0,625.0582893862464
67,0.0,6.0,7.0,423.2515030422494
68,0.0,6.0,8.0,531.4175711302045
69,0.0,6.0,9.0,0.0
70,0,7,0,700
71,0.0,7.0,1.0,573.9017017619283
72,0.0,7.0,2.0,484.2682667269609
73,0.0,7.0,3.0,567.961168548646
74,0.0,7.0,4.0,147.3671968190887
75,0,7,5,700
76,0.0,7.0,6.0,621.9194990093056
77,0.0,7.0,7.0,532.9092415825513
78,0.0,7.0,8.0,553.2871045248313
79,0.0,7.0,9.0,180.37273634595553
80,0.0,8.0,0.0,695.4011705140794
81,0.0,8.0,1.0,536.4678572796871
82,0.0,8.0,2.0,479.32077054074574
83,0.0,8.0,3.0,567.3017034390085
84,0.0,8.0,4.0,0.0
85,0.0,8.0,5.0,629.7050770320078
86,0.0,8.0,6.0,602.9807936990228
87,0.0,8.0,7.0,454.9561801141406
88,0.0,8.0,8.0,520.4890226092177
89,0.0,8.0,9.0,0.0
90,0,9,0,700
91,0.0,9.0,1.0,579.6526870472737
92,0.0,9.0,2.0,495.47562465444827
93,0.0,9.0,3.0,610.0979950307923
94,0.0,9.0,4.0,26.359573866979726
95,0,9,5,700
96,0.0,9.0,6.0,646.248150302427
97,0.0,9.0,7.0,479.1123913742219
98,0.0,9.0,8.0,599.8984574305389
99,0.0,9.0,9.0,12.17072818345665
100,0,10,0,700
101,0.0,10.0,1.0,586.4897010199411
102,0.0,10.0,2.0,507.05952464151255
103,0.0,10.0,3.0,574.4508099603631
104,0.0,10.0,4.0,0.0
105,0,10,5,700
106,0.0,10.0,6.0,625.472804838945
107,0.0,10.0,7.0,467.747489098707
108,0.0,10.0,8.0,560.1689622651663
109,0.0,10.0,9.0,0.0
110,0,11,0,700
111,0.0,11.0,1.0,584.7855490391275
112,0.0,11.0,2.0,502.4649074865479
113,0.0,11.0,3.0,614.0195496053528
114,0.0,11.0,4.0,0.0
115,0,11,5,700
116,0.0,11.0,6.0,648.4922423549709
117,0.0,11.0,7.0,376.9679481171064
118,0.0,11.0,8.0,603.2203292605122
119,0.0,11.0,9.0,0.0
120,0,12,0,700
121,0.0,12.0,1.0,597.7894064268795
122,0.0,12.0,2.0,523.9249707507719
123,0.0,12.0,3.0,565.4030902379499
124,0.0,12.0,4.0,0.0
125,0,12,5,700
126,0.0,12.0,6.0,620.5803988773075
127,0.0,12.0,7.0,467.57963588995074
128,0.0,12.0,8.0,550.0760246281777
129,0.0,12.0,9.0,0.0
130,0.0,13.0,0.0,598.0199802349691
131,0.0,13.0,1.0,609.441116280407
132,0.0,13.0,2.0,466.2718971890603
133,0.0,13.0,3.0,476.67730592777013
134,0.0,13.0,4.0,0.0
135,0,13,5,700
136,0.0,13.0,6.0,653.9712819725083
137,0.0,13.0,7.0,513.3237321133645
138,0.0,13.0,8.0,220.61258264450043
139,0.0,13.0,9.0,127.91530638803938
140,0,14,0,700
141,0.0,14.0,1.0,589.3534078440757
142,0.0,14.0,2.0,509.9380535797228
143,0.0,14.0,3.0,559.8135755641571
144,0.0,14.0,4.0,0.0
145,0,14,5,700
146,0.0,14.0,6.0,617.2268235305238
147,0.0,14.0,7.0,454.2983551560271
148,0.0,14.0,8.0,543.7755583594014
149,0.0,14.0,9.0,0.0
150,0,15,0,700
151,0.0,15.0,1.0,579.9140783829457
152,0.0,15.0,2.0,494.5581104104283
153,0.0,15.0,3.0,528.8501128876712
154,0.0,15.0,4.0,113.68458036669499
155,0,15,5,700
156,0.0,15.0,6.0,587.284112659098
157,0.0,15.0,7.0,530.2598189170449
158,0.0,15.0,8.0,510.1595227304141
159,0.0,15.0,9.0,172.29849458498342
160,0,16,0,700
161,0.0,16.0,1.0,581.8988072102703
162,0.0,16.0,2.0,498.557050632909
163,0.0,16.0,3.0,493.5238292819517
164,0.0,16.0,4.0,185.32521527080377
165,0,16,5,700
166,0.0,16.0,6.0,578.8280715247046
167,0.0,16.0,7.0,565.2028023846744
168,0.0,16.0,8.0,470.12792728683877
169,0.0,16.0,9.0,280.1921679647496
170,0,17,0,700
171,0.0,17.0,1.0,589.2342358664895
172,0.0,17.0,2.0,510.8152798738931
173,0.0,17.0,3.0,556.8207016843442
174,0.0,17.0,4.0,56.54547033791031
175,0,17,5,700
176,0.0,17.0,6.0,615.6283053682391
177,0.0,17.0,7.0,503.3841679371805
178,0.0,17.0,8.0,540.8170136237252
179,0.0,17.0,9.0,84.26453545946094
180,0,18,0,700
181,0.0,18.0,1.0,594.6157838658331
182,0.0,18.0,2.0,519.3523473928518
183,0.0,18.0,3.0,543.6982500308377
184,0.0,18.0,4.0,4.79590699094838
185,0,18,5,700
186,0.0,18.0,6.0,607.9874715777297
187,0.0,18.0,7.0,488.2120404642349
188,0.0,18.0,8.0,525.9208637190078
189,0.0,18.0,9.0,41.435839231365044
190,0,19,0,700
191,0.0,19.0,1.0,597.0065850638784
192,0.0,19.0,2.0,524.5150122646136
193,0.0,19.0,3.0,555.2516506540845
194,0.0,19.0,4.0,0.0
195,0,19,5,700
196,0.0,19.0,6.0,614.8049119111563
197,0.0,19.0,7.0,429.83167933985874
198,0.0,19.0,8.0,538.801111453589
199,0.0,19.0,9.0,0.0
200,0,20,0,700
201,0.0,20.0,1.0,580.277378151896
202,0.0,20.0,2.0,494.1842323944408
203,0.0,20.0,3.0,533.9859496836956
204,0.0,20.0,4.0,84.97356117101101
205,0,20,5,700
206,0.0,20.0,6.0,601.7065143347273
207,0.0,20.0,7.0,515.7334847810921
208,0.0,20.0,8.0,515.5813464836041
209,0.0,20.0,9.0,130.91749839103207
