,round,tube,sp,ancestor,mutant
0,0,15,1,"(0.01423507054326358, 0.0, 0.0, 0.09007764845750801, 0.2667732097353895, 0.0, 0.0, 0.0, 0.24253084167451877, 0.0)","(0.01423507054326358, 0.0, 0.0, 0.21556333195008112, 0.19934447235836292, 0.0, 0.0, 0.0, 0.24253084167451877, 0.0)"
1,0,3,1,"(0.01423507054326358, 0.0, 0.0, 0.09007764845750801, 0.2667732097353895, 0.0, 0.0, 0.0, 0.24253084167451877, 0.0)","(0.01423507054326358, 0.0, 0.0, 0.20775802880246072, 0.2667732097353895, 0.0, 0.0, 0.0, 0.24253084167451877, 0.0)"
2,0,17,1,"(0.01423507054326358, 0.0, 0.0, 0.09007764845750801, 0.2667732097353895, 0.0, 0.0, 0.0, 0.24253084167451877, 0.0)","(0.013811087117538562, 0.0, 0.0, 0.09007764845750801, 0.15452965278292732, 0.0, 0.0, 0.0, 0.24253084167451877, 0.0)"
3,0,20,1,"(0.01423507054326358, 0.0, 0.0, 0.09007764845750801, 0.2667732097353895, 0.0, 0.0, 0.0, 0.24253084167451877, 0.0)","(0.01423507054326358, 0.0, 0.0, 0.09007764845750801, 0.2667732097353895, 0.0, 0.0, 0.0, 0.1931188738684462, 0.0)"
4,0,0,1,"(0.01423507054326358, 0.0, 0.0, 0.09007764845750801, 0.2667732097353895, 0.0, 0.0, 0.0, 0.24253084167451877, 0.0)","(0.01423507054326358, 0.0, 0.0, 0.10680948642325, 0.2667732097353895, 0.0, 0.0, 0.0, 0.24253084167451877, 0.0)"
5,0,7,1,"(0.01423507054326358, 0.0, 0.0, 0.09007764845750801, 0.2667732097353895, 0.0, 0.0, 0.0, 0.24253084167451877, 0.0)","(0.01423507054326358, 0.0, 0.0, 0.09226481376852212, 0.2773882170410861, 0.0, 0.0, 0.0, 0.24253084167451877, 0.0)"
6,0,19,1,"(0.01423507054326358, 0.0, 0.0, 0.09007764845750801, 0.2667732097353895, 0.0, 0.0, 0.0, 0.24253084167451877, 0.0)","(0.024723635626744102, 0.0, 0.0, 0.09007764845750801, 0.4674429451277264, 0.0, 0.0, 0.0, 0.24253084167451877, 0.0)"
7,0,13,0,"(0.0, 0.0, 0.0, 0.06373288382390217, 0.04356372842177486, 0.0, 0.03683897489672214, 0.0, 0.07098281781122052, 0.0)","(0.0, 0.0, 0.0, 0.06373288382390217, 0.03512316848408441, 0.0, 0.03683897489672214, 0.0, 0.07098281781122052, 0.0)"
8,0,0,1,"(0.01423507054326358, 0.0, 0.0, 0.09007764845750801, 0.2667732097353895, 0.0, 0.0, 0.0, 0.24253084167451877, 0.0)","(0.01423507054326358, 0.0, 0.0, 0.06968900154707904, 0.2667732097353895, 0.0, 0.0, 0.0, 0.24253084167451877, 0.0)"
9,0,4,0,"(0.0, 0.0, 0.0, 0.06373288382390217, 0.04356372842177486, 0.0, 0.03683897489672214, 0.0, 0.07098281781122052, 0.0)","(0.0, 0.0, 0.0, 0.0575850714672156, 0.04356372842177486, 0.0, 0.03683897489672214, 0.0, 0.07098281781122052, 0.0)"
