,round,tube,sp,st,final_pop
0,0,0,1,"(0.01423507054326358, 0.0, 0.0, 0.09007764845750801, 0.35162519676323717, 0.0, 0.0, 0.0, 0.24253084167451877, 0.0)",1
1,0,0,1,"(0.01423507054326358, 0.0, 0.0, 0.07408481852694074, 0.2667732097353895, 0.0, 0.0, 0.0, 0.24253084167451877, 0.0)",1
2,0,0,1,"(0.01423507054326358, 0.0, 0.0, 0.12349662382255763, 0.2667732097353895, 0.0, 0.0, 0.0, 0.24253084167451877, 0.0)",1
3,0,0,1,"(0.014331818529796585, 0.0, 0.0, 0.09007764845750801, 0.2667732097353895, 0.0, 0.0, 0.0, 0.24253084167451877, 0.0)",1
4,0,0,1,"(0.013474464913911766, 0.0, 0.0, 0.09007764845750801, 0.2667732097353895, 0.0, 0.0, 0.0, 0.24253084167451877, 0.0)",2
5,0,0,1,"(0.01423507054326358, 0.0, 0.0, 0.09007764845750801, 0.28153559710620296, 0.0, 0.0, 0.0, 0.19071124615403082, 0.0)",2
6,0,0,1,"(0.01423507054326358, 0.0, 0.0, 0.09007764845750801, 0.3716572472373509, 0.0, 0.0, 0.0, 0.24253084167451877, 0.0)",2
7,0,0,1,"(0.01423507054326358, 0.0, 0.0, 0.09007764845750801, 0.2667732097353895, 0.0, 0.0, 0.0, 0.15487670149239752, 0.0)",1
8,0,0,1,"(0.01423507054326358, 0.0, 0.0, 0.12521935034275405, 0.2667732097353895, 0.0, 0.0, 0.0, 0.303835880555106, 0.0)",1
9,0,0,1,"(0.01423507054326358, 0.0, 0.0, 0.09007764845750801, 0.2667732097353895, 0.0, 0.0, 0.0, 0.24253084167451877, 0.0)",790
10,0,0,1,"(0.01878452100533827, 0.0, 0.0, 0.09007764845750801, 0.2667732097353895, 0.0, 0.0, 0.0, 0.24253084167451877, 0.0)",6
11,0,0,4,"(0.16488775833997968, 0.04886499162218148, 0.0, 0.044088279107617735, 0.0, 0.0, 0.0, 0.0, 0.14875458854448032, 0.16046160667189419)",25
12,0,0,7,"(0.0, 0.0, 0.0, 0.0, 0.1640106010697726, 0.0, 0.0, 0.08988498460369111, 0.0, 0.1842944379780426)",1
13,0,0,7,"(0.0, 0.0, 0.0, 0.0, 0.1640106010697726, 0.0, 0.0, 0.05924345412590238, 0.0, 0.1842944379780426)",442
14,0,0,7,"(0.0, 0.0, 0.0, 0.0, 0.1640106010697726, 0.0, 0.0, 0.05924345412590238, 0.0, 0.150151605384273)",1
15,0,0,7,"(0.0, 0.0, 0.0, 0.0, 0.1640106010697726, 0.0, 0.0, 0.04697068541978322, 0.0, 0.1842944379780426)",1
16,0,0,7,"(0.0, 0.0, 0.0, 0.0, 0.1640106010697726, 0.0, 0.0, 0.023443090492750094, 0.0, 0.1842944379780426)",1
17,0,0,7,"(0.0, 0.0, 0.0, 0.0, 0.12288680204270191, 0.0, 0.0, 0.05924345412590238, 0.0, 0.1842944379780426)",1
18,0,0,7,"(0.0, 0.0, 0.0, 0.0, 0.1404607868067868, 0.0, 0.0, 0.05924345412590238, 0.0, 0.15002303140156667)",9
19,0,0,7,"(0.0, 0.0, 0.0, 0.0, 0.16661818822798996, 0.0, 0.0, 0.05924345412590238, 0.0, 0.1842944379780426)",1
20,0,0,7,"(0.0, 0.0, 0.0, 0.0, 0.1640106010697726, 0.0, 0.0, 0.05924345412590238, 0.0, 0.5132185870329403)",1
21,0,0,7,"(0.0, 0.0, 0.0, 0.0, 0.14690194463656386, 0.0, 0.0, 0.12470710034602847, 0.0, 0.1842944379780426)",1
22,0,0,7,"(0.0, 0.0, 0.0, 0.0, 0.3251280642862447, 0.0, 0.0, 0.05924345412590238, 0.0, 0.1842944379780426)",1
23,0,0,7,"(0.0, 0.0, 0.0, 0.0, 0.1640106010697726, 0.0, 0.0, 0.08712700369589965, 0.0, 0.1817230010293366)",1
24,0,0,13,"(0.05539516110147199, 0.2324089457760683, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10615007620645343, 0.0, 0.1750621008401039)",3
25,0,1,1,"(0.016722241023508503, 0.0, 0.0, 0.09007764845750801, 0.2667732097353895, 0.0, 0.0, 0.0, 0.24253084167451877, 0.0)",2
26,0,1,1,"(0.01423507054326358, 0.0, 0.0, 0.09007764845750801, 0.2667732097353895, 0.0, 0.0, 0.0, 0.40888953778884723, 0.0)",1
27,0,1,1,"(0.02041716353807654, 0.0, 0.0, 0.09007764845750801, 0.2667732097353895, 0.0, 0.0, 0.0, 0.24253084167451877, 0.0)",1
28,0,1,1,"(0.01423507054326358, 0.0, 0.0, 0.09007764845750801, 0.2667732097353895, 0.0, 0.0, 0.0, 0.24253084167451877, 0.0)",625
29,0,1,1,"(0.013339172911331852, 0.0, 0.0, 0.09007764845750801, 0.31354961806102033, 0.0, 0.0, 0.0, 0.24253084167451877, 0.0)",1
30,0,1,1,"(0.01423507054326358, 0.0, 0.0, 0.09007764845750801, 0.2726762607017907, 0.0, 0.0, 0.0, 0.24253084167451877, 0.0)",2
31,0,1,1,"(0.014342673243491788, 0.0, 0.0, 0.09007764845750801, 0.1801047401652265, 0.0, 0.0, 0.0, 0.24253084167451877, 0.0)",3
32,0,1,4,"(0.16488775833997968, 0.04886499162218148, 0.0, 0.044088279107617735, 0.0, 0.0, 0.0, 0.0, 0.14875458854448032, 0.16046160667189419)",103
