,round,tube,tox,amount
0,0,0,0,0
1,0.0,0.0,1.0,513.6392143660432
2,0,0,2,0
3,0,0,3,700
4,0.0,0.0,4.0,418.61945959588536
5,0,0,5,0
6,0.0,0.0,6.0,366.80607408886857
7,0.0,0.0,7.0,252.64363843467487
8,0,0,8,700
9,0,0,9,0
10,0,1,0,0
11,0.0,1.0,1.0,515.8632405565826
12,0,1,2,0
13,0,1,3,700
14,0.0,1.0,4.0,421.1162413720154
15,0,1,5,0
16,0.0,1.0,6.0,370.612135416677
17,0.0,1.0,7.0,261.5916027521119
18,0,1,8,700
19,0,1,9,0
20,0,2,0,0
21,0.0,2.0,1.0,512.619889474512
22,0,2,2,0
23,0,2,3,700
24,0.0,2.0,4.0,417.196150948784
25,0,2,5,0
26,0.0,2.0,6.0,363.69259072882346
27,0.0,2.0,7.0,247.5772579930133
28,0,2,8,700
29,0,2,9,0
30,0,3,0,0
31,0.0,3.0,1.0,523.4114773137327
32,0,3,2,0
33,0,3,3,700
34,0.0,3.0,4.0,436.9026193815548
35,0,3,5,0
36,0.0,3.0,6.0,384.60575875585187
37,0.0,3.0,7.0,276.31540225313427
38,0,3,8,700
39,0,3,9,0
40,0,4,0,0
41,0.0,4.0,1.0,514.0078878521932
42,0,4,2,0
43,0,4,3,700
44,0.0,4.0,4.0,419.366347871377
45,0,4,5,0
46,0.0,4.0,6.0,368.35869363657764
47,0.0,4.0,7.0,254.33103029493336
48,0,4,8,700
49,0,4,9,0
50,0,5,0,0
51,0.0,5.0,1.0,510.72328849333655
52,0,5,2,0
53,0,5,3,700
54,0.0,5.0,4.0,414.32689521142214
55,0,5,5,0
56,0.0,5.0,6.0,361.5085574501758
57,0.0,5.0,7.0,245.83415377327657
58,0,5,8,700
59,0,5,9,0
60,0,6,0,0
61,0.0,6.0,1.0,520.7750585456013
62,0,6,2,0
63,0,6,3,700
64,0.0,6.0,4.0,429.49791301173
65,0,6,5,0
66,0.0,6.0,6.0,379.51580849961437
67,0.0,6.0,7.0,269.00387422970994
68,0,6,8,700
69,0,6,9,0
70,0,7,0,0
71,0.0,7.0,1.0,528.5211941344837
72,0,7,2,0
73,0,7,3,700
74,0.0,7.0,4.0,439.92721214520816
75,0,7,5,0
76,0.0,7.0,6.0,391.9401184758819
77,0.0,7.0,7.0,286.24081113283967
78,0,7,8,700
79,0,7,9,0
80,0,8,0,0
81,0.0,8.0,1.0,526.033333967311
82,0,8,2,0
83,0,8,3,700
84,0.0,8.0,4.0,436.38730685279756
85,0,8,5,0
86,0.0,8.0,6.0,387.82111796788934
87,0.0,8.0,7.0,282.5703148313813
88,0,8,8,700
89,0,8,9,0
90,0,9,0,0
91,0.0,9.0,1.0,514.1324750869252
92,0,9,2,0
93,0,9,3,700
94,0.0,9.0,4.0,414.93505167860934
95,0,9,5,0
96,0.0,9.0,6.0,369.0852980263958
97,0.0,9.0,7.0,254.01443174776594
98,0,9,8,700
99,0,9,9,0
100,0.0,10.0,0.0,55.10288308205002
101,0.0,10.0,1.0,543.9231142136754
102,0,10,2,0
103,0,10,3,700
104,0.0,10.0,4.0,464.64238301951536
105,0,10,5,0
106,0.0,10.0,6.0,421.8241729132452
107,0.0,10.0,7.0,325.7105635396604
108,0,10,8,700
109,0,10,9,0
110,0.0,11.0,0.0,12.384039722774977
111,0.0,11.0,1.0,533.8166294431203
112,0,11,2,0
113,0,11,3,700
114,0.0,11.0,4.0,449.18140190985207
115,0,11,5,0
116,0.0,11.0,6.0,402.8399437467613
117,0.0,11.0,7.0,301.01103539177853
118,0,11,8,700
119,0,11,9,0
120,0,12,0,0
121,0.0,12.0,1.0,529.9341569960586
122,0,12,2,0
123,0,12,3,700
