,round,tube,tox,amount
0,0.0,0.0,0.0,109.84046609404689
1,0.0,0.0,1.0,120.65851281922507
2,0.0,0.0,2.0,86.99236576050892
3,0.0,0.0,3.0,287.23701940855716
4,0.0,0.0,4.0,308.4645241465541
5,0.0,0.0,5.0,61.68389395446755
6,0.0,0.0,6.0,461.43598902808475
7,0.0,0.0,7.0,222.20364477673402
8,0.0,0.0,8.0,428.6999686276399
9,0.0,0.0,9.0,502.0068745972943
10,0.0,1.0,0.0,159.73268408894302
11,0.0,1.0,1.0,66.63600925521253
12,0.0,1.0,2.0,258.31985855128585
13,0.0,1.0,3.0,319.83072442477277
14,0.0,1.0,4.0,379.94674951850806
15,0.0,1.0,5.0,112.99400530734947
16,0.0,1.0,6.0,497.8783470754529
17,0.0,1.0,7.0,185.28233122126437
18,0.0,1.0,8.0,397.8348085017833
19,0.0,1.0,9.0,468.63637348110643
20,0.0,2.0,0.0,237.89598175950584
21,0.0,2.0,1.0,560.0150021795628
22,0.0,2.0,2.0,305.264285378254
23,0.0,2.0,3.0,298.0834882497524
24,0.0,2.0,4.0,249.5457803794324
25,0.0,2.0,5.0,394.42023903474814
26,0.0,2.0,6.0,408.9620930135941
27,0.0,2.0,7.0,235.908750751298
28,0.0,2.0,8.0,401.38769868839694
29,0.0,2.0,9.0,477.01121365032355
30,0.0,3.0,0.0,582.4137200925327
31,0.0,3.0,1.0,408.07578906206544
32,0.0,3.0,2.0,0.0
33,0.0,3.0,3.0,185.17712908954815
34,0.0,3.0,4.0,529.7533774427766
35,0.0,3.0,5.0,0.0
36,0.0,3.0,6.0,700.0
37,0.0,3.0,7.0,466.8971087079053
38,0.0,3.0,8.0,423.46303069774643
39,0.0,3.0,9.0,444.09717572289014
40,0.0,4.0,0.0,544.3393536484489
41,0.0,4.0,1.0,362.47987183934816
42,0.0,4.0,2.0,0.0
43,0.0,4.0,3.0,44.83160100131944
44,0.0,4.0,4.0,507.3718171496928
45,0.0,4.0,5.0,0.0
46,0.0,4.0,6.0,700.0
47,0.0,4.0,7.0,490.5384166203145
48,0.0,4.0,8.0,386.6354543176719
49,0.0,4.0,9.0,361.3748990779867
50,0.0,5.0,0.0,78.84646198045091
51,0.0,5.0,1.0,156.0150935855415
52,0.0,5.0,2.0,287.1733784734201
53,0.0,5.0,3.0,304.0526933030483
54,0.0,5.0,4.0,315.50004642585225
55,0.0,5.0,5.0,334.45196968072486
56,0.0,5.0,6.0,474.9357836797468
57,0.0,5.0,7.0,202.46870785727674
58,0.0,5.0,8.0,358.2884895358882
59,0.0,5.0,9.0,465.78053640817706
60,0.0,6.0,0.0,572.9860637383331
61,0.0,6.0,1.0,443.2326434025147
62,0.0,6.0,2.0,0.0
63,0.0,6.0,3.0,134.14666333842698
64,0.0,6.0,4.0,503.015536832694
65,0.0,6.0,5.0,0.0
66,0.0,6.0,6.0,700.0
67,0.0,6.0,7.0,564.2620764391867
68,0.0,6.0,8.0,379.9561368204522
69,0.0,6.0,9.0,423.852769941783
70,0.0,7.0,0.0,516.3890654666276
71,0.0,7.0,1.0,200.79136016393363
72,0.0,7.0,2.0,0.0
