,round,tube,sp,st,final_pop
0,0,0,8,"(0.09369258606422372, 0.0, 0.09886232529533268, 0.09247639241939104, 0.09173902283359818, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",323
1,0,0,8,"(0.09369258606422372, 0.0, 0.09886232529533268, 0.09247639241939104, 0.08939900686278912, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",1
2,0,0,11,"(0.09033430006888621, 0.14970886995698662, 0.0, 0.0, 0.0, 0.05099868680795773, 0.0, 0.08279881135943302, 0.0, 0.01812760691895582)",4
3,0,0,11,"(0.07549861483370039, 0.14322081507712092, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08279881135943302, 0.0, 0.01812760691895582)",1
4,0,0,11,"(0.08931414775973467, 0.14970886995698662, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08279881135943302, 0.0, 0.01812760691895582)",1
5,0,0,11,"(0.06021190856182321, 0.14970886995698662, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08279881135943302, 0.0, 0.01812760691895582)",1
6,0,0,11,"(0.09033430006888621, 0.14970886995698662, 0.0, 0.0, 0.0, 0.057770010202590885, 0.0, 0.0793533573800999, 0.0, 0.012443069266673525)",2
7,0,0,11,"(0.17608979956291276, 0.10047616276029799, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.09378196803030368, 0.0, 0.022893442458314185)",1
8,0,0,11,"(0.09033430006888621, 0.14970886995698662, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08279881135943302, 0.0, 0.01812760691895582)",420
9,0,0,13,"(0.0, 0.0, 0.11679612853536596, 0.06920069129515957, 0.09172770611919409, 0.07489992963210028, 0.0, 0.0, 0.16399108086323286, 0.0)",4
10,0,0,13,"(0.0, 0.0, 0.11679612853536596, 0.06920069129515957, 0.09172770611919409, 0.07489992963210028, 0.0, 0.0, 0.14899621190854193, 0.0)",153
11,0,0,13,"(0.0, 0.0, 0.15752495597317182, 0.06920069129515957, 0.09172770611919409, 0.07489992963210028, 0.0, 0.0, 0.14899621190854193, 0.0)",1
12,0,0,13,"(0.0, 0.0, 0.11679612853536596, 0.06920069129515957, 0.0872466813394598, 0.07489992963210028, 0.0, 0.0, 0.14899621190854193, 0.0)",1
13,0,1,8,"(0.09369258606422372, 0.0, 0.09782946700853869, 0.0645541235271979, 0.09173902283359818, 0.0, 0.05514856503218902, 0.0, 0.0, 0.0)",3
14,0,1,8,"(0.09369258606422372, 0.0, 0.09886232529533268, 0.0645541235271979, 0.09173902283359818, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",3
15,0,1,8,"(0.09369258606422372, 0.0, 0.09886232529533268, 0.09247639241939104, 0.09173902283359818, 0.0, 0.0221527101138561, 0.0, 0.0, 0.0)",2
16,0,1,8,"(0.09369258606422372, 0.0, 0.09886232529533268, 0.08937684529182745, 0.09173902283359818, 0.0, 0.03012918317515515, 0.0, 0.0, 0.0)",2
17,0,1,8,"(0.09369258606422372, 0.0, 0.09886232529533268, 0.09247639241939104, 0.09173902283359818, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",305
