,round,tube,sp,st,final_pop
0,0,0,8,"(0.09369258606422372, 0.0, 0.11505535517367972, 0.09247639241939104, 0.09173902283359818, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",1
1,0,0,8,"(0.09369258606422372, 0.0, 0.09886232529533268, 0.09247639241939104, 0.09173902283359818, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",436
2,0,0,8,"(0.09369258606422372, 0.0, 0.06606690305881242, 0.09247639241939104, 0.07297626192507353, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",2
3,0,0,11,"(0.09033430006888621, 0.14970886995698662, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08279881135943302, 0.0, 0.01922476209594624)",4
4,0,0,11,"(0.09033430006888621, 0.14970886995698662, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.09105029015340003, 0.0, 0.01812760691895582)",1
5,0,0,11,"(0.09033430006888621, 0.09569088950561484, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08279881135943302, 0.0, 0.01812760691895582)",2
6,0,0,11,"(0.09033430006888621, 0.14970886995698662, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08279881135943302, 0.0, 0.01812760691895582)",390
7,0,0,11,"(0.09380578022978087, 0.14970886995698662, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08279881135943302, 0.0, 0.01812760691895582)",4
8,0,0,11,"(0.09641692537574467, 0.14970886995698662, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08279881135943302, 0.0, 0.01812760691895582)",1
9,0,0,13,"(0.0, 0.0, 0.11679612853536596, 0.06920069129515957, 0.09172770611919409, 0.07489992963210028, 0.0, 0.0, 0.14899621190854193, 0.0)",165
10,0,0,13,"(0.0, 0.0, 0.18726293773108768, 0.06920069129515957, 0.09172770611919409, 0.07112603196840891, 0.0, 0.0, 0.14899621190854193, 0.0)",2
11,0,1,8,"(0.09369258606422372, 0.0, 0.09886232529533268, 0.09247639241939104, 0.09173902283359818, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",354
12,0,1,11,"(0.09033430006888621, 0.14970886995698662, 0.0, 0.0, 0.0, 0.052131210839396855, 0.0, 0.08279881135943302, 0.0, 0.01812760691895582)",1
13,0,1,11,"(0.11667455271852847, 0.07117913259227228, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.12590072539770603, 0.0, 0.01812760691895582)",1
14,0,1,11,"(0.09033430006888621, 0.14970886995698662, 0.0, 0.0, 0.0, 0.028890834616720994, 0.0, 0.08279881135943302, 0.0, 0.01812760691895582)",4
15,0,1,11,"(0.09033430006888621, 0.14970886995698662, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08279881135943302, 0.0, 0.01812760691895582)",450
16,0,1,11,"(0.09033430006888621, 0.18677709406328308, 0.0, 0.0, 0.0, 0.028890834616720994, 0.0, 0.08279881135943302, 0.0, 0.01812760691895582)",4
17,0,1,11,"(0.09033430006888621, 0.14970886995698662, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08652189508831871, 0.0, 0.031709653068688885)",1
18,0,1,11,"(0.09033430006888621, 0.14970886995698662, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.12136926884486932, 0.0, 0.01812760691895582)",2
19,0,1,11,"(0.09033430006888621, 0.20067029208182724, 0.0, 0.0, 0.0, 0.05335868733556414, 0.0, 0.08279881135943302, 0.0, 0.01812760691895582)",1
20,0,1,11,"(0.09033430006888621, 0.14970886995698662, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.06589396874222538, 0.0, 0.01812760691895582)",1
21,0,1,11,"(0.09033430006888621, 0.14970886995698662, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.05034124188227818, 0.0, 0.01211639380531611)",1
22,0,1,13,"(0.0, 0.0, 0.09587614727075973, 0.06920069129515957, 0.09172770611919409, 0.07489992963210028, 0.0, 0.0, 0.14899621190854193, 0.0)",1
23,0,1,13,"(0.0, 0.0, 0.11679612853536596, 0.06920069129515957, 0.09172770611919409, 0.07489992963210028, 0.0, 0.0, 0.14899621190854193, 0.0)",165
24,0,1,13,"(0.0, 0.0, 0.11881409729088216, 0.06920069129515957, 0.09172770611919409, 0.07489992963210028, 0.0, 0.0, 0.14899621190854193, 0.0)",1
25,0,2,8,"(0.09369258606422372, 0.0, 0.11832820998645499, 0.09247639241939104, 0.09173902283359818, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",1
26,0,2,8,"(0.09369258606422372, 0.0, 0.09886232529533268, 0.14194192385153714, 0.09173902283359818, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",4
27,0,2,8,"(0.09369258606422372, 0.0, 0.05854358043249197, 0.09247639241939104, 0.09173902283359818, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",1
28,0,2,8,"(0.09369258606422372, 0.0, 0.09886232529533268, 0.09247639241939104, 0.09173902283359818, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",285
29,0,2,11,"(0.09033430006888621, 0.14970886995698662, 0.0, 0.0, 0.0, 0.10597186748481138, 0.0, 0.08279881135943302, 0.0, 0.01812760691895582)",2
