,round,tube,sp,pop_0,final_pop,st_div_H,auc,fc
0,0.0,0.0,6.0,10.0,278.0,0.08340191219302712,21201.0,27.799972200027803
1,0.0,0.0,7.0,2.0,14.0,0.410116318288409,608.0,6.999965000174999
2,0.0,0.0,9.0,1.0,16.0,-0.0,1214.0,15.999840001599983
3,0.0,0.0,12.0,14.0,300.0,0.2268842431373989,11763.0,21.428556122459913
4,0.0,0.0,13.0,8.0,137.0,0.07619706122733755,9884.0,17.12497859377676
5,0.0,1.0,6.0,10.0,273.0,0.06749295529235502,20395.0,27.2999727000273
6,0.0,1.0,7.0,1.0,0.0,,3.0,0.0
7,0.0,1.0,9.0,1.0,0.0,,12.0,0.0
8,0.0,1.0,12.0,12.0,332.0,1.1175418303062545,8958.0,27.666643611130326
9,0.0,1.0,13.0,8.0,132.0,0.13579395875159386,10577.0,16.49997937502578
10,0.0,2.0,6.0,11.0,159.0,0.3865471541568886,15630.0,14.454532314061533
11,0.0,2.0,7.0,6.0,168.0,0.17356173480431755,6725.0,27.999953333411113
12,0.0,2.0,12.0,3.0,75.0,0.7842830654508419,2654.0,24.999916666944443
13,0.0,2.0,13.0,5.0,127.0,0.04598613940436899,9510.0,25.399949200101602
14,0.0,3.0,6.0,12.0,295.0,0.13109872167672565,21028.0,24.583312847239295
15,0.0,3.0,7.0,2.0,15.0,-0.0,795.0,7.4999625001874985
16,0.0,3.0,12.0,14.0,295.0,0.27675302711553446,12634.0,21.071413520418915
17,0.0,3.0,13.0,4.0,149.0,0.44317901979401636,10848.0,37.24990687523282
18,0.0,4.0,6.0,14.0,248.0,0.052495045199815835,18058.0,17.714273061233527
19,0.0,4.0,7.0,3.0,98.0,-0.0,4779.0,32.66655777814074
20,0.0,4.0,12.0,10.0,137.0,-0.0,6064.0,13.6999863000137
21,0.0,4.0,13.0,4.0,172.0,0.1782795542925339,11010.0,42.99989250026875
22,0.0,5.0,6.0,15.0,273.0,0.23591278294290027,21341.0,18.199987866674757
23,0.0,5.0,7.0,2.0,50.0,-0.0,2257.0,24.999875000624996
